legacy_id	new_id
DMP0269	P-0000302-T01
DMP0275	P-0000303-T01
DMP0267	P-0000306-T01
DMP0271	P-0000307-T01
DMP0270	P-0000308-T01
DMP0274	P-0000309-T01
DMP0280	P-0000313-T01
DMP0281	P-0000314-T01
DMP0289	P-0000315-T01
DMP0291	P-0000316-T01
DMP0282	P-0000317-T01
DMP0288	P-0000318-T01
DMP0286	P-0000319-T01
DMP0279	P-0000320-T01
DMP0287	P-0000322-T01
DMP0283	P-0000323-T01
DMP0292	P-0000324-T01
DMP0290	P-0000325-T01
DMP0285	P-0000326-T01
DMP0302	P-0000327-T01
DMP0305	P-0000328-T01
DMP0301	P-0000329-T01
DMP0295	P-0000332-T01
DMP0296	P-0000333-T01
DMP0300	P-0000334-T01
DMP0294	P-0000335-T01
DMP0297	P-0000336-T01
DMP0298	P-0000337-T01
DMP0299	P-0000339-T01
DMP0293	P-0000043-T02
DMP0303	P-0000340-T01
DMP0309	P-0000341-T01
DMP0308	P-0000342-T01
DMP0311	P-0000343-T01
DMP0318	P-0000344-T01
DMP0317	P-0000345-T01
DMP0307	P-0000346-T01
DMP0315	P-0000347-T01
DMP0319	P-0000348-T01
DMP0313	P-0000349-T01
DMP0312	P-0000351-T01
DMP0310	P-0000352-T01
DMP0316	P-0000353-T01
DMP0306	P-0000354-T01
DMP0330	P-0000355-T01
DMP0332	P-0000356-T01
DMP0328	P-0000357-T01
DMP0334	P-0000358-T01
DMP0326	P-0000359-T01
DMP0323	P-0000360-T01
DMP0322	P-0000361-T01
DMP0333	P-0000362-T01
DMP0321	P-0000363-T01
DMP0331	P-0000364-T01
DMP0320	P-0000365-T01
DMP0327	P-0000366-T01
DMP0329	P-0000367-T01
DMP0324	P-0000368-T01
DMP0325	P-0000369-T01
DMP0344	P-0000370-T01
DMP0335	P-0000371-T01
DMP0345	P-0000372-T01
DMP0340	P-0000373-T01
DMP0336	P-0000374-T01
DMP0450	P-0000376-T01
DMP0339	P-0000377-T01
DMP0338	P-0000378-T01
DMP0343	P-0000380-T01
DMP0346	P-0000381-T01
DMP0341	P-0000382-T01
DMP0337	P-0000383-T01
DMP0348	P-0000384-T01
DMP0354	P-0000386-T01
DMP0349	P-0000387-T01
DMP0351	P-0000388-T01
DMP0358	P-0000390-T01
DMP0355	P-0000391-T01
DMP0356	P-0000392-T01
DMP0353	P-0000394-T01
DMP0357	P-0000395-T01
DMP0352	P-0000397-T01
DMP0350	P-0000398-T01
DMP0366	P-0000400-T01
DMP0367	P-0000401-T01
DMP0359	P-0000402-T01
DMP0362	P-0000403-T01
DMP0361	P-0000404-T01
DMP0370	P-0000405-T01
DMP0365	P-0000406-T01
DMP0369	P-0000407-T01
DMP0364	P-0000408-T01
DMP0371	P-0000409-T01
DMP0368	P-0000410-T01
DMP0360	P-0000411-T01
DMP0363	P-0000412-T01
DMP0377	P-0000413-T01
DMP0383	P-0000414-T01
DMP0381	P-0000415-T01
DMP0380	P-0000417-T01
DMP0382	P-0000418-T01
DMP0373	P-0000419-T01
DMP0376	P-0000420-T01
DMP0378	P-0000421-T01
DMP0384	P-0000422-T01
DMP0375	P-0000423-T01
DMP0374	P-0000423-T02
DMP0372	P-0000425-T01
DMP0379	P-0000426-T01
DMP0392	P-0000427-T01
DMP0385	P-0000428-T01
DMP0395	P-0000431-T01
DMP0386	P-0000432-T01
DMP0391	P-0000433-T01
DMP0393	P-0000434-T01
DMP0388	P-0000435-T01
DMP0394	P-0000436-T01
DMP0387	P-0000438-T01
DMP0389	P-0000439-T01
DMP0413	P-0000440-T01
DMP0409	P-0000441-T01
DMP0402	P-0000442-T01
DMP0408	P-0000443-T01
DMP0410	P-0000444-T01
DMP0396	P-0000445-T01
DMP0404	P-0000446-T01
DMP0398	P-0000447-T01
DMP0407	P-0000448-T01
DMP0401	P-0000449-T01
DMP0406	P-0000450-T01
DMP0405	P-0000451-T01
DMP0397	P-0000452-T01
DMP0411	P-0000453-T01
DMP0403	P-0000454-T01
DMP0412	P-0000455-T01
DMP0399	P-0000456-T01
DMP0400	P-0000457-T01
DMP0421	P-0000458-T01
DMP0419	P-0000459-T01
DMP0416	P-0000460-T01
DMP0422	P-0000461-T01
DMP0414	P-0000462-T01
DMP0427	P-0000463-T01
DMP0415	P-0000464-T01
DMP0426	P-0000465-T01
DMP0425	P-0000466-T01
DMP0418	P-0000467-T01
DMP0423	P-0000468-T01
DMP0424	P-0000469-T01
DMP0420	P-0000471-T01
DMP0417	P-0000472-T01
DMP0433	P-0000473-T01
DMP0432	P-0000474-T01
DMP0436	P-0000475-T01
DMP0434	P-0000476-T01
DMP0441	P-0000477-T01
DMP0437	P-0000478-T01
DMP0428	P-0000479-T01
DMP0440	P-0000480-T01
DMP0435	P-0000481-T01
DMP0438	P-0000482-T01
DMP0431	P-0000483-T01
DMP0429	P-0000484-T01
DMP0430	P-0000485-T01
DMP0439	P-0000486-T01
DMP0444	P-0000488-T01
DMP0443	P-0000490-T01
DMP0442	P-0000491-T01
DMP0449	P-0000494-T01
DMP0448	P-0000495-T01
DMP0446	P-0000497-T01
DMP0445	P-0000499-T01
DMP0447	P-0000500-T01
DMP0453	P-0000501-T01
DMP0461	P-0000502-T01
DMP0462	P-0000503-T01
DMP0452	P-0000399-T01
DMP0463	P-0000504-T01
DMP0456	P-0000506-T01
DMP0458	P-0000507-T01
DMP0459	P-0000508-T01
DMP0464	P-0000509-T01
DMP0451	P-0000396-T01
DMP0457	P-0000510-T01
DMP0454	P-0000511-T01
DMP0460	P-0000512-T01
DMP0455	P-0000513-T01
DMP0490	P-0000514-T01
DMP0484	P-0000515-T01
DMP0492	P-0000516-T01
DMP0489	P-0000517-T01
DMP0487	P-0000518-T01
DMP0483	P-0000519-T01
DMP0491	P-0000520-T01
DMP0488	P-0000521-T01
DMP0482	P-0000522-T01
DMP0493	P-0000523-T01
DMP0480	P-0000524-T01
DMP0486	P-0000525-T01
