Hybridization REF	TCGA-02-0001-01C-01R	TCGA-02-0002-01A-01R	TCGA-02-0003-01A-01R	TCGA-02-0004-01A-01R	TCGA-02-0006-01B-01R	TCGA-02-0007-01A-01R	TCGA-02-0009-01A-01R	TCGA-02-0010-01A-01R	TCGA-02-0011-01B-01R	TCGA-02-0014-01A-01R	TCGA-02-0015-01A-01R	TCGA-02-0016-01A-01R	TCGA-02-0021-01A-01R	TCGA-02-0023-01B-01R	TCGA-02-0024-01B-01R	TCGA-02-0025-01A-01R	TCGA-02-0026-01B-01R	TCGA-02-0027-01A-01R	TCGA-02-0028-01A-01R	TCGA-02-0033-01A-01R	TCGA-02-0034-01A-01R	TCGA-02-0037-01A-01R	TCGA-02-0038-01A-01R	TCGA-02-0039-01A-01R	TCGA-02-0043-01A-01R	TCGA-02-0046-01A-01R	TCGA-02-0047-01A-01R	TCGA-02-0048-01A-01R	TCGA-02-0051-01A-01R	TCGA-02-0052-01A-01R	TCGA-02-0054-01A-01R	TCGA-02-0055-01A-01R	TCGA-02-0057-01A-01R	TCGA-02-0058-01A-01R	TCGA-02-0059-01A-01R	TCGA-02-0060-01A-01R	TCGA-02-0064-01A-01R	TCGA-02-0068-01A-01R	TCGA-02-0069-01A-01R	TCGA-02-0070-01A-01R	TCGA-02-0071-01A-01R	TCGA-02-0074-01A-01R	TCGA-02-0075-01A-01R	TCGA-02-0079-01A-03R	TCGA-02-0080-01A-01R	TCGA-02-0083-01A-01R	TCGA-02-0084-01A-03R	TCGA-02-0085-01A-01R	TCGA-02-0086-01A-01R	TCGA-02-0087-01A-01R	TCGA-02-0089-01A-01R	TCGA-02-0099-01A-01R	TCGA-02-0102-01A-01R	TCGA-02-0104-01A-01R	TCGA-02-0106-01A-01R	TCGA-02-0107-01A-01R	TCGA-02-0111-01A-01R	TCGA-02-0113-01A-01R	TCGA-02-0114-01A-01R	TCGA-02-0115-01A-01R	TCGA-02-0116-01A-01R	TCGA-02-0117-01A-01R	TCGA-02-0258-01A-01R	TCGA-02-0260-01A-03R	TCGA-02-0266-01A-01R	TCGA-02-0269-01B-01R	TCGA-02-0271-01A-01R	TCGA-02-0281-01A-01R	TCGA-02-0285-01A-01R	TCGA-02-0289-01A-01R	TCGA-02-0290-01A-01R	TCGA-02-0317-01A-01R	TCGA-02-0321-01A-01R	TCGA-02-0324-01A-01R	TCGA-02-0325-01A-01R	TCGA-02-0326-01A-01R	TCGA-02-0330-01A-01R	TCGA-02-0332-01A-01R	TCGA-02-0333-01A-02R	TCGA-02-0337-01A-01R	TCGA-02-0338-01A-01R	TCGA-02-0339-01A-01R	TCGA-02-0422-01A-01R	TCGA-02-0430-01A-01R	TCGA-02-0432-01A-02R	TCGA-02-0439-01A-01R	TCGA-02-0440-01A-01R	TCGA-02-0446-01A-01R	TCGA-02-0451-01A-01R	TCGA-02-0456-01A-01R	TCGA-06-0122-01A-01R	TCGA-06-0124-01A-01R	TCGA-06-0125-01A-01R	TCGA-06-0126-01A-01R	TCGA-06-0127-01A-01R	TCGA-06-0128-01A-01R	TCGA-06-0129-01A-01R	TCGA-06-0130-01A-01R	TCGA-06-0132-01A-02R	TCGA-06-0133-01A-02R	TCGA-06-0137-01B-02R	TCGA-06-0138-01A-02R	TCGA-06-0139-01A-01R	TCGA-06-0140-01A-01R	TCGA-06-0141-01A-01R	TCGA-06-0142-01A-01R	TCGA-06-0143-01A-01R	TCGA-06-0145-01A-06R	TCGA-06-0146-01A-01R	TCGA-06-0147-01A-01R	TCGA-06-0148-01A-05R	TCGA-06-0149-01A-05R	TCGA-06-0152-01A-02R	TCGA-06-0154-01A-03R	TCGA-06-0155-01B-01R	TCGA-06-0156-01A-03R	TCGA-06-0157-01A-01R	TCGA-06-0158-01A-01R	TCGA-06-0160-01A-01R	TCGA-06-0162-01A-01R	TCGA-06-0164-01A-01R	TCGA-06-0166-01A-01R	TCGA-06-0167-01A-01R	TCGA-06-0168-01A-01R	TCGA-06-0169-01A-01R	TCGA-06-0171-01A-02R	TCGA-06-0173-01A-01R	TCGA-06-0174-01A-01R	TCGA-06-0175-01A-01R	TCGA-06-0176-01A-03R	TCGA-06-0177-01A-01R	TCGA-06-0178-01A-01R	TCGA-06-0179-01A-02R	TCGA-06-0182-01A-01R	TCGA-06-0184-01A-01R	TCGA-06-0185-01A-01R	TCGA-06-0187-01A-01R	TCGA-06-0188-01A-01R	TCGA-06-0189-01A-05R	TCGA-06-0190-01A-01R	TCGA-06-0192-01B-01R	TCGA-06-0194-01A-01R	TCGA-06-0195-01B-01R	TCGA-06-0197-01A-02R	TCGA-06-0201-01A-01R	TCGA-06-0206-01A-01R	TCGA-06-0208-01B-01R	TCGA-06-0210-01A-01R	TCGA-06-0211-01B-01R	TCGA-06-0213-01A-01R	TCGA-06-0214-01A-02R	TCGA-06-0216-01B-01R	TCGA-06-0219-01A-01R	TCGA-06-0221-01A-01R	TCGA-06-0237-01A-02R	TCGA-06-0238-01A-02R	TCGA-06-0240-01A-02R	TCGA-06-0241-01A-02R	TCGA-06-0394-01A-01R	TCGA-06-0397-01A-01R	TCGA-06-0402-01A-01R	TCGA-06-0409-01A-02R	TCGA-06-0410-01A-01R	TCGA-06-0412-01A-01R	TCGA-06-0413-01A-01R	TCGA-06-0414-01A-01R	TCGA-06-0644-01A-02R	TCGA-06-0645-01A-01R	TCGA-06-0646-01A-01R	TCGA-06-0648-01A-01R	TCGA-06-0649-01B-01R	TCGA-06-0686-01A-01R	TCGA-06-0743-01A-01R	TCGA-06-0744-01A-01R	TCGA-06-0745-01A-01R	TCGA-06-0747-01A-01R	TCGA-06-0749-01A-01R	TCGA-06-0750-01A-01R	TCGA-06-0875-01A-01R	TCGA-06-0876-01A-01R	TCGA-06-0877-01A-01R	TCGA-06-0878-01A-01R	TCGA-06-0879-01A-01R	TCGA-06-0881-01A-02R	TCGA-06-0882-01A-01R	TCGA-06-1084-01A-01R	TCGA-06-1086-01A-02R	TCGA-06-1087-01A-02R	TCGA-06-1800-01A-01R	TCGA-06-1801-01A-02R	TCGA-06-1802-01A-01R	TCGA-06-1805-01A-01R	TCGA-08-0244-01A-01R	TCGA-08-0245-01A-01R	TCGA-08-0246-01A-01R	TCGA-08-0344-01A-01R	TCGA-08-0345-01A-01R	TCGA-08-0346-01A-01R	TCGA-08-0347-01A-01R	TCGA-08-0348-01A-01R	TCGA-08-0349-01A-01R	TCGA-08-0350-01A-01R	TCGA-08-0351-01A-01R	TCGA-08-0352-01A-01R	TCGA-08-0353-01A-01R	TCGA-08-0354-01A-01R	TCGA-08-0355-01A-01R	TCGA-08-0356-01A-01R	TCGA-08-0357-01A-01R	TCGA-08-0358-01A-01R	TCGA-08-0359-01A-01R	TCGA-08-0360-01A-01R	TCGA-08-0373-01A-01R	TCGA-08-0375-01A-01R	TCGA-08-0380-01A-01R	TCGA-08-0385-01A-01R	TCGA-08-0386-01A-01R	TCGA-08-0389-01A-01R	TCGA-08-0390-01A-01R	TCGA-08-0392-01A-01R	TCGA-08-0509-01A-01R	TCGA-08-0510-01A-01R	TCGA-08-0511-01A-01R	TCGA-08-0512-01A-01R	TCGA-08-0514-01A-01R	TCGA-08-0516-01A-01R	TCGA-08-0517-01A-01R	TCGA-08-0518-01A-01R	TCGA-08-0520-01A-01R	TCGA-08-0521-01A-01R	TCGA-08-0522-01A-01R	TCGA-08-0524-01A-01R	TCGA-08-0525-01A-01R	TCGA-08-0529-01A-02R	TCGA-08-0531-01A-01R	TCGA-12-0615-01A-01R	TCGA-12-0616-01A-01R	TCGA-12-0618-01A-01R	TCGA-12-0619-01A-01R	TCGA-12-0620-01A-01R	TCGA-12-0653-01A-01R	TCGA-12-0654-01B-01R	TCGA-12-0656-01B-01R	TCGA-12-0657-01A-01R	TCGA-12-0662-01A-01R	TCGA-12-0670-01B-01R	TCGA-12-0688-01A-02R	TCGA-12-0691-01A-01R	TCGA-12-0692-01A-01R	TCGA-12-0703-01A-02R	TCGA-12-0707-01A-01R	TCGA-12-0769-01A-01R	TCGA-12-0772-01A-01R	TCGA-12-0773-01A-01R	TCGA-12-0775-01A-01R	TCGA-12-0776-01A-01R	TCGA-12-0778-01A-01R	TCGA-12-0780-01A-01R	TCGA-12-0818-01A-01R	TCGA-12-0819-01A-01R	TCGA-12-0820-01A-01R	TCGA-12-0821-01A-01R	TCGA-12-0822-01A-01R	TCGA-12-0826-01A-01R	TCGA-12-0827-01A-01R	TCGA-12-0828-01A-01R	TCGA-12-0829-01A-01R	TCGA-12-1088-01A-01R	TCGA-12-1089-01A-01R	TCGA-12-1090-01A-01R	TCGA-12-1091-01A-01R	TCGA-12-1092-01B-01R	TCGA-12-1093-01A-01R	TCGA-12-1094-01A-01R	TCGA-12-1095-01A-01R	TCGA-12-1096-01A-01R	TCGA-12-1097-01B-01R	TCGA-12-1098-01C-01R	TCGA-12-1099-01A-01R	TCGA-12-1597-01B-01R	TCGA-12-1598-01A-01R	TCGA-12-1599-01A-01R	TCGA-12-1600-01A-01R	TCGA-12-1601-01A-01R	TCGA-12-1602-01A-01R	TCGA-12-3644-01A-01R	TCGA-12-3646-01A-01R	TCGA-12-3648-01A-01R	TCGA-12-3649-01A-01R	TCGA-12-3650-01A-01R	TCGA-12-3651-01A-01R	TCGA-12-3652-01A-01R	TCGA-12-3653-01A-01R	TCGA-14-0736-01A-01R	TCGA-14-0783-01B-01R	TCGA-14-0786-01B-01R	TCGA-14-0787-01A-01R	TCGA-14-0789-01A-01R	TCGA-14-0812-01B-01R	TCGA-14-0813-01A-01R	TCGA-14-0817-01A-01R	TCGA-14-0865-01B-01R	TCGA-14-0866-01B-01R	TCGA-14-0867-01A-01R	TCGA-14-0871-01A-01R	TCGA-14-1034-01A-01R	TCGA-14-1037-01A-01R	TCGA-14-1396-01A-01R	TCGA-14-1401-01A-01R	TCGA-14-1402-01A-01R	TCGA-14-1451-01A-01R	TCGA-14-1452-01A-01R	TCGA-14-1453-01A-01R	TCGA-14-1454-01A-01R	TCGA-14-1455-01A-01R	TCGA-14-1458-01A-01R	TCGA-14-1459-01A-01R	TCGA-14-1794-01A-01R	TCGA-14-1795-01A-01R	TCGA-14-1821-01A-01R	TCGA-14-1823-01A-01R	TCGA-14-1825-01A-01R	TCGA-14-1827-01A-01R	TCGA-14-1829-01A-01R	TCGA-14-2555-01B-01R	TCGA-14-3477-01A-01R	TCGA-15-0742-01A-01R	TCGA-15-1446-01A-01R	TCGA-15-1447-01A-01R	TCGA-15-1449-01A-01R	TCGA-16-0846-01A-01R	TCGA-16-0848-01A-01R	TCGA-16-0849-01A-01R	TCGA-16-0850-01A-01R	TCGA-16-0861-01A-01R	TCGA-16-1045-01B-01R	TCGA-16-1047-01B-01R	TCGA-16-1055-01B-01R	TCGA-16-1056-01B-01R	TCGA-16-1060-01A-01R	TCGA-16-1062-01A-01R	TCGA-16-1063-01B-01R	TCGA-16-1460-01A-01R	TCGA-19-0955-01A-02R	TCGA-19-0957-01C-01R	TCGA-19-0960-01A-02R	TCGA-19-0962-01B-01R	TCGA-19-0963-01B-01R	TCGA-19-0964-01A-01R	TCGA-19-1385-01A-02R	TCGA-19-1386-01A-01R	TCGA-19-1387-01A-01R	TCGA-19-1388-01A-01R	TCGA-19-1389-01A-01R	TCGA-19-1390-01A-01R	TCGA-19-1392-01A-01R	TCGA-19-1786-01A-01R	TCGA-19-1787-01B-01R	TCGA-19-1788-01A-01R	TCGA-19-1789-01A-01R	TCGA-19-1791-01A-01R	TCGA-19-2619-01A-01R	TCGA-19-2620-01A-01R	TCGA-19-2621-01B-01R	TCGA-19-2623-01A-01R	TCGA-19-2624-01A-01R	TCGA-19-2625-01A-01R	TCGA-19-2629-01A-01R	TCGA-26-1438-01A-01R	TCGA-26-1440-01A-01R	TCGA-26-1443-01A-01R	TCGA-26-1799-01A-02R	TCGA-27-1830-01A-01R	TCGA-27-1832-01A-01R	TCGA-27-1833-01A-01R	TCGA-27-1834-01A-01R	TCGA-28-1745-01B-01R	TCGA-28-1746-01A-01R	TCGA-28-1749-01A-01R	TCGA-28-1750-01A-01R	TCGA-28-1751-01A-02R	TCGA-28-1752-01A-01R	TCGA-28-1755-01A-01R	TCGA-28-1757-01A-02R	TCGA-28-1760-01A-01R	TCGA-32-2615-01A-01R	TCGA-32-2616-01A-01R	TCGA-32-2632-01A-01R	TCGA-32-2634-01A-01R	TCGA-32-2638-01A-01R	TCGA-41-2571-01A-01R	TCGA-41-2573-01A-01R	TCGA-41-2575-01A-01R	TCGA-41-3392-01A-01R	TCGA-02-2466-01A-01R	TCGA-02-2470-01A-01R	TCGA-02-2483-01A-01R	TCGA-02-2485-01A-01R	TCGA-02-2486-01A-01R	TCGA-06-0168-01A-02R	TCGA-06-2557-01A-01R	TCGA-06-2558-01A-01R	TCGA-06-2559-01A-01R	TCGA-06-2561-01A-02R	TCGA-06-2562-01A-01R	TCGA-06-2563-01A-01R	TCGA-06-2564-01A-01R	TCGA-06-2565-01A-01R	TCGA-06-2566-01A-01R	TCGA-06-2567-01A-01R	TCGA-06-2569-01A-01R	TCGA-06-2570-01A-01R	TCGA-14-0790-01B-01R	TCGA-14-1456-01C-01R	TCGA-14-2554-01A-01R	TCGA-27-1831-01A-01R	TCGA-27-1835-01A-01R	TCGA-27-1836-01A-01R	TCGA-27-1837-01A-01R	TCGA-27-1838-01A-01R	TCGA-27-2518-01A-01R	TCGA-27-2519-01A-01R	TCGA-27-2521-01A-01R	TCGA-27-2523-01A-01R	TCGA-27-2524-01A-01R	TCGA-27-2526-01A-01R	TCGA-27-2527-01A-01R	TCGA-27-2528-01A-01R	TCGA-28-1747-01C-01R	TCGA-28-1753-01A-01R	TCGA-28-1756-01C-01R	TCGA-28-2502-01B-01R	TCGA-28-2506-01A-02R	TCGA-28-2509-01A-01R	TCGA-28-2513-01A-01R	TCGA-28-2514-01A-02R	TCGA-32-1970-01A-01R	TCGA-32-1976-01A-01R	TCGA-32-1982-01A-01R	TCGA-32-1986-01A-01R
Composite Element REF	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal	signal
AACS	0.481864925040699	0.439876382873019	0.667447865232769	0.646561645070131	0.0788284383924713	0.66080521682169	0.276135835283867	0.0589260224829338	0.532475369063851	0.819519571798445	0.15111640074658	0.11628363117629	0.408777064069265	0.400379628181571	0.83024019890438	0.087982798671904	0.564715739801571	0.245258911416059	0.301305742340226	0.116106943635494	0.265849303602671	0.436095131633217	0.200400570898052	0.119898950565597	0.412113077745454	0.13796621902687	0.476232333649332	0.46064659830358	0.452233321651794	0.145753474021127	1.38025218409645	-0.21419905082987	0.417449193813605	0.119557051516275	0.100120770629771	0.633311698067743	0.19330649397307	0.0796147216840328	0.392756075735853	0.693581002053076	0.446156859734107	0.606940544555216	0.0777407779088914	0.206834138252634	0.319666165728737	0.459590301316193	-0.0238284964903208	0.766686483124341	0.540870158694288	-0.0513031829652593	0.337144961633006	0.633800711322496	0.185796704695068	0.298253329792442	0.228476775554868	0.0946774303676898	0.287750587411916	0.176773154233822	0.251177254220897	0.515386046203648	-0.0846202615098983	0.757544218058774	0.615297085644141	0.472133606165777	0.30899679222301	0.197518168682087	1.08963892811681	0.5201529805118	0.0209219110914525	0.310959379795102	0.043453084160356	0.725355207669938	0.540813784271339	0.164406326682674	0.603834442443353	0.226208470853012	0.455985132664337	-0.268254099722527	0.317082051946297	0.183077364753209	1.10991942988402	0.716425858087287	0.834129398386545	0.558946744278332	0.0743238172204221	0.471266335717606	0.109302353358498	0.772316059203416	0.221960495381693	0.971211398721913	0.319235427891027	0.438944740511296	0.398346524158301	0.357632260012219	0.224746682433129	-0.000668380893883214	-0.186137399431447	0.101093506293118	0.95827540702593	0.439229180492321	0.0195603055647551	-0.0630926210609903	0.0756019060181914	0.181077507270785	0.151596096957102	0.879224081273602	0.131992616083251	0.196918725708384	-0.198314106500964	-0.231272797247466	0.243048173693082	0.0301728950928264	-0.0805870257996504	0.339240891773691	0.269066428842343	0.343195342561665	0.248378281134636	0.295506193647979	2.12172825469399	0.277375969463081	0.0596165850052714	0.203766473370454	2.05214545234779	1.23780735392153	0.0694885805388412	0.197802134280183	0.169577209234179	0.498131938794834	0.552516533870628	0.19972329186604	0.507464116092925	0.24662495670328	0.479800157277802	0.00535245410341911	-0.0570058258331962	1.00041347031782	0.386147088594802	0.550758080581018	-0.0815961172921336	0.317981416668892	0.210754428745095	0.244061158260069	0.49923894922278	-0.0997001587160953	0.203146020494009	0.0584944068310644	0.202224880867837	0.538910867281755	0.265880145575623	0.0403725215401867	0.300953764579095	0.49017852443803	0.379272414766148	0.336648029727934	-0.0617391418553699	0.383861534655952	1.34860672976401	0.531212508331565	0.371900155342661	0.549080469189884	0.355883923478943	-0.025170381573421	0.406585430661119	0.241190862757942	0.705327251190691	0.345611808238501	0.360228658386028	-0.154002833222733	0.126855900132171	0.525108281965365	0.0149453741287795	0.680256814831953	0.256937932609715	0.35649960836392	0.514787508230349	0.237302925060284	0.825261253457232	0.397814016896066	0.697194393505026	0.419152751088749	0.730778012288712	0.459469921372302	0.716934141364695	0.207952448069298	0.235888401172567	0.326314050112878	0.384721503912274	0.984853786203244	0.367514080315213	0.574388922630832	0.55138190509804	0.0915309491777831	0.600194134439825	0.104454863492964	0.278656385117344	0.166159937242844	0.06404082882195	0.141502925564	0.234731925009758	0.398766706598511	0.296314021547558	0.285781310210949	0.23000762237036	0.420031029997344	0.430066418552778	0.0603235404477211	0.0289115233148891	-0.0570919129342915	0.234613310981627	0.318212410306026	0.494666725275301	0.241245381680416	0.501131027333489	0.496391469803519	0.186408606653248	0.105767995452263	0.591774325336333	0.47829286242175	0.0971097986914828	0.468885456745818	0.352610136643186	0.215336592202779	0.326042023219661	0.0618000440340589	-0.00597899525218537	0.537655015151091	1.28056325615544	0.18178774668107	0.329733136575155	0.269276753968429	-0.189348364134511	0.444068490959314	0.352358421758691	0.203514582755499	0.692862552777972	-0.22258287931944	-0.160080102453312	0.751126206406594	-0.170439892513193	0.587982004176495	-0.0207402732022861	0.353227928464767	0.690664104733071	0.235510854459164	0.165711405247968	0.23537093846887	0.204707109378807	0.374104403082442	-0.0458695620623351	0.554166846279621	0.485070324305227	0.274479363472545	0.00670168103520075	0.328329011745556	0.529306445381263	0.277349960747173	0.492279667479461	0.492013908915743	0.355555851265608	0.739547116233347	0.617327704407792	0.403712319050332	0.490109869522502	0.227775681932338	0.172114614012159	0.643329901877264	0.545003729850162	-0.0918238455876521	0.0628829328616098	0.605508550809398	0.133378622534359	0.118122581086348	0.602263628494175	0.101039794043897	0.536195670448584	-0.00514869170624399	0.519651796425441	0.413056274015129	0.492851933577309	0.389214589720368	-0.0645183271479715	0.24966763552965	0.369323801616241	0.797063063302927	0.364722653004033	0.555187044823895	0.321061056566148	0.520940576653704	0.392284537560664	0.562127488002924	0.538345435980697	0.303267949334307	0.759446038704736	0.310805096811464	-0.32609960492372	0.249708574705615	0.723941595172655	0.289620166495543	0.216550155547747	0.7926953433849	0.499192659250337	0.635313785671119	0.301281472007136	0.475480967556861	0.721412434605498	0.236021459797221	0.216386536737729	0.891708790256295	0.471356065896885	0.0478255006933224	0.250981649701264	-0.0509722900206544	0.145016703262636	0.584372163055975	0.474231309100634	0.928291492336002	0.416560269554291	0.299343005861636	0.511789336367237	0.227949762758291	0.600667833518068	0.47736517342664	0.604120324046006	-0.228355367715011	0.529908104649352	0.674089924775999	0.609270821451738	0.533221102173708	0.809037270009203	0.750610842430244	0.717639548828153	0.413160169599672	0.469433386225928	0.0677805532022506	0.513047434198148	0.553797017821466	0.230811871634773	0.267158808114232	-0.314862940517399	0.421682248118061	0.150215359936666	0.371182322060717	0.232684215197804	-0.0368477527328488	0.536297865924404	0.769488522155157	0.218950724599213	0.804307346721686	0.0700131894558749	0.0924508926192917	0.328729298566404	0.31126349106049	0.343478059197008	0.347777638242722	0.77845334548318	0.749029224860866	0.356942475861482	1.01175903410015	0.406721653302543	0.48511743087711	-0.306719441648144	0.84136376393363	0.319780574954706	0.776683311296813	-0.0776165269871889	0.645953276826524	0.126092444138231	0.166316400701273	0.0557518613186949	0.138033698596939	0.56769670674478	0.529528290742686	0.548680709218416	0.48096376371174	0.0364487822038244	-0.12085486017734	-0.084475510167731	0.485181347642246	0.411812835002609	0.538442497319463	0.160020229992333	0.159943014287252	0.319575931032635	0.151831839145106	0.379807896666967	0.533066132966498	1.01266435906728	0.404238074116596	0.465910349376518	0.143103320600553	0.859641084543663	1.29379220226281	0.629390192056794	0.809617357957197	0.641202775910301	0.680057872935408	0.412534024981624	-0.252912647682554	0.115732622996705	0.663926492649981	-0.00317964529689529	0.467222831358339	0.125594024897728	0.471489953577168	0.544187704768292	0.406705361119742	0.290713667582897	-0.0130031925195304	0.235909104246423	0.158382269786986	0.998040139656825	0.00304159646725122	0.167463051420701	0.162313256825986	0.156291757339333	0.0491117363057336	0.090878088779844	0.701873821764041	0.548937813159364	0.390334251975887	0.272687925275419	-0.109643835456279	0.401021531759683	0.344702709969253	0.523255985183158	0.493730574831727	0.14843674344731	0.152982780723085	0.223068330199505	0.0575082695578555	0.377547089297736	0.22025658173237	0.273720979939792	0.287729931276753	0.0158052876126149	0.495864477749951	0.267991098724032	0.230854912673645	-0.0109938222702395	0.0914906179909298
