mature	precursor	alias
hsa-mir-1252	hsa-miR-1252	mir-1252/1252
hsa-mir-1253	hsa-miR-1253	mir-1253/1253
hsa-mir-1254	hsa-miR-1254	mir-1254/1254
hsa-mir-1254-2	hsa-miR-1254	mir-1254-2/1254
hsa-mir-1255a	hsa-miR-1255a	mir-1255a/1255a
hsa-mir-1255b-1	hsa-miR-1255b	mir-1255b-1/1255b
hsa-mir-1255b-2	hsa-miR-1255b	mir-1255b-2/1255b
hsa-mir-1256	hsa-miR-1256	mir-1256/1256
hsa-mir-1257	hsa-miR-1257	mir-1257/1257
hsa-mir-1258	hsa-miR-1258	mir-1258/1258
hsa-mir-125a	hsa-miR-125a-5p	mir-125a/5p
hsa-mir-125a	hsa-miR-125a-3p	mir-125a/3p
hsa-mir-125b-1	hsa-miR-125b	mir-125b-1/125b
hsa-mir-125b-1	hsa-miR-125b-1*	mir-125b-1/1*
hsa-mir-125b-2	hsa-miR-125b-2*	mir-125b-2/2*
hsa-mir-125b-2	hsa-miR-125b	mir-125b-2/125b
hsa-mir-126	hsa-miR-126*	mir-126/126*
hsa-mir-126	hsa-miR-126	mir-126/126
hsa-mir-1260	hsa-miR-1260	mir-1260/1260
hsa-mir-1260b	hsa-miR-1260b	mir-1260b/1260b
hsa-mir-1261	hsa-miR-1261	mir-1261/1261
hsa-mir-1262	hsa-miR-1262	mir-1262/1262
hsa-mir-1263	hsa-miR-1263	mir-1263/1263
hsa-mir-1264	hsa-miR-1264	mir-1264/1264
hsa-mir-1265	hsa-miR-1265	mir-1265/1265
hsa-mir-1266	hsa-miR-1266	mir-1266/1266
hsa-mir-1267	hsa-miR-1267	mir-1267/1267
hsa-mir-1268	hsa-miR-1268	mir-1268/1268
hsa-mir-1268b	hsa-miR-1268b	mir-1268b/1268b
hsa-mir-1269	hsa-miR-1269	mir-1269/1269
hsa-mir-1269b	hsa-miR-1269b	mir-1269b/1269b
hsa-mir-127	hsa-miR-127-5p	mir-127/5p
hsa-mir-127	hsa-miR-127-3p	mir-127/3p
hsa-mir-1270-1	hsa-miR-1270	mir-1270-1/1270
hsa-mir-1270-2	hsa-miR-1270	mir-1270-2/1270
hsa-mir-1271	hsa-miR-1271	mir-1271/1271
hsa-mir-1272	hsa-miR-1272	mir-1272/1272
hsa-mir-1273	hsa-miR-1273	mir-1273/1273
hsa-mir-1273c	hsa-miR-1273c	mir-1273c/1273c
hsa-mir-1273d	hsa-miR-1273d	mir-1273d/1273d
hsa-mir-1273e	hsa-miR-1273e	mir-1273e/1273e
hsa-mir-1273f	hsa-miR-1273f	mir-1273f/1273f
hsa-mir-1273g	hsa-miR-1273g	mir-1273g/1273g
hsa-mir-1275	hsa-miR-1275	mir-1275/1275
hsa-mir-1276	hsa-miR-1276	mir-1276/1276
hsa-mir-1277	hsa-miR-1277	mir-1277/1277
hsa-mir-1278	hsa-miR-1278	mir-1278/1278
hsa-mir-1279	hsa-miR-1279	mir-1279/1279
hsa-mir-128-1	hsa-miR-128	mir-128-1/128
hsa-mir-128-2	hsa-miR-128	mir-128-2/128
hsa-mir-1280	hsa-miR-1280	mir-1280/1280
hsa-mir-1281	hsa-miR-1281	mir-1281/1281
hsa-mir-1282	hsa-miR-1282	mir-1282/1282
hsa-mir-1283-1	hsa-miR-1283	mir-1283-1/1283
hsa-mir-1283-2	hsa-miR-1283	mir-1283-2/1283
hsa-mir-1284	hsa-miR-1284	mir-1284/1284
hsa-mir-1285-1	hsa-miR-1285	mir-1285-1/1285
hsa-mir-1285-2	hsa-miR-1285	mir-1285-2/1285
hsa-mir-1286	hsa-miR-1286	mir-1286/1286
hsa-mir-1287	hsa-miR-1287	mir-1287/1287
hsa-mir-1288	hsa-miR-1288	mir-1288/1288
hsa-mir-1289-1	hsa-miR-1289	mir-1289-1/1289
hsa-mir-1289-2	hsa-miR-1289	mir-1289-2/1289
hsa-mir-129-1	hsa-miR-129-5p	mir-129-1/5p
hsa-mir-129-1	hsa-miR-129*	mir-129-1/129*
hsa-mir-129-2	hsa-miR-129-3p	mir-129-2/3p
hsa-mir-129-2	hsa-miR-129-5p	mir-129-2/5p
hsa-mir-1290	hsa-miR-1290	mir-1290/1290
hsa-mir-1291	hsa-miR-1291	mir-1291/1291
hsa-mir-1292	hsa-miR-1292	mir-1292/1292
hsa-mir-1293	hsa-miR-1293	mir-1293/1293
hsa-mir-1294	hsa-miR-1294	mir-1294/1294
hsa-mir-1295	hsa-miR-1295	mir-1295/1295
hsa-mir-1296	hsa-miR-1296	mir-1296/1296
hsa-mir-1297	hsa-miR-1297	mir-1297/1297
hsa-mir-1298	hsa-miR-1298	mir-1298/1298
hsa-mir-1299	hsa-miR-1299	mir-1299/1299
hsa-mir-1301	hsa-miR-1301	mir-1301/1301
hsa-mir-1302-1	hsa-miR-1302	mir-1302-1/1302
