mature	precursor	alias
hsa-mir-29b-1	hsa-miR-29b-1*	mir-29b-1/1*
hsa-mir-29b-1	hsa-miR-29b	mir-29b-1/29b
hsa-mir-29b-2	hsa-miR-29b-2*	mir-29b-2/2*
hsa-mir-29b-2	hsa-miR-29b	mir-29b-2/29b
hsa-mir-29c	hsa-miR-29c*	mir-29c/29c*
hsa-mir-29c	hsa-miR-29c	mir-29c/29c
hsa-mir-300	hsa-miR-300	mir-300/300
hsa-mir-301a	hsa-miR-301a	mir-301a/301a
hsa-mir-301b	hsa-miR-301b	mir-301b/301b
hsa-mir-302a	hsa-miR-302a*	mir-302a/302a*
hsa-mir-302a	hsa-miR-302a	mir-302a/302a
hsa-mir-302b	hsa-miR-302b*	mir-302b/302b*
hsa-mir-302b	hsa-miR-302b	mir-302b/302b
hsa-mir-302c	hsa-miR-302c*	mir-302c/302c*
hsa-mir-302c	hsa-miR-302c	mir-302c/302c
hsa-mir-302d	hsa-miR-302d*	mir-302d/302d*
hsa-mir-302d	hsa-miR-302d	mir-302d/302d
hsa-mir-302e	hsa-miR-302e	mir-302e/302e
hsa-mir-302f	hsa-miR-302f	mir-302f/302f
hsa-mir-3064	hsa-miR-3064-5p	mir-3064/5p
hsa-mir-3064	hsa-miR-3064-3p	mir-3064/3p
hsa-mir-3065	hsa-miR-3065-5p	mir-3065/5p
hsa-mir-3065	hsa-miR-3065-3p	mir-3065/3p
hsa-mir-3074	hsa-miR-3074-3p	mir-3074/3p
hsa-mir-3074	hsa-miR-3074-5p	mir-3074/5p
hsa-mir-30a	hsa-miR-30a	mir-30a/30a
hsa-mir-30a	hsa-miR-30a*	mir-30a/30a*
hsa-mir-30b	hsa-miR-30b	mir-30b/30b
hsa-mir-30b	hsa-miR-30b*	mir-30b/30b*
hsa-mir-30c-1	hsa-miR-30c-1*	mir-30c-1/1*
hsa-mir-30c-1	hsa-miR-30c	mir-30c-1/30c
hsa-mir-30c-2	hsa-miR-30c	mir-30c-2/30c
hsa-mir-30c-2	hsa-miR-30c-2*	mir-30c-2/2*
hsa-mir-30d	hsa-miR-30d	mir-30d/30d
hsa-mir-30d	hsa-miR-30d*	mir-30d/30d*
hsa-mir-30e	hsa-miR-30e	mir-30e/30e
hsa-mir-30e	hsa-miR-30e*	mir-30e/30e*
hsa-mir-31	hsa-miR-31	mir-31/31
hsa-mir-31	hsa-miR-31*	mir-31/31*
hsa-mir-3115	hsa-miR-3115	mir-3115/3115
hsa-mir-3116-1	hsa-miR-3116	mir-3116-1/3116
hsa-mir-3116-2	hsa-miR-3116	mir-3116-2/3116
hsa-mir-3117	hsa-miR-3117-3p	mir-3117/3p
hsa-mir-3117	hsa-miR-3117-5p	mir-3117/5p
hsa-mir-3118-1	hsa-miR-3118	mir-3118-1/3118
hsa-mir-3118-2	hsa-miR-3118	mir-3118-2/3118
hsa-mir-3118-3	hsa-miR-3118	mir-3118-3/3118
hsa-mir-3118-4	hsa-miR-3118	mir-3118-4/3118
hsa-mir-3118-5	hsa-miR-3118	mir-3118-5/3118
hsa-mir-3118-6	hsa-miR-3118	mir-3118-6/3118
hsa-mir-3119-1	hsa-miR-3119	mir-3119-1/3119
hsa-mir-3119-2	hsa-miR-3119	mir-3119-2/3119
hsa-mir-3120	hsa-miR-3120-3p	mir-3120/3p
hsa-mir-3120	hsa-miR-3120-5p	mir-3120/5p
hsa-mir-3121	hsa-miR-3121-3p	mir-3121/3p
hsa-mir-3121	hsa-miR-3121-5p	mir-3121/5p
hsa-mir-3122	hsa-miR-3122	mir-3122/3122
hsa-mir-3123	hsa-miR-3123	mir-3123/3123
hsa-mir-3124	hsa-miR-3124-5p	mir-3124/5p
hsa-mir-3124	hsa-miR-3124-3p	mir-3124/3p
hsa-mir-3125	hsa-miR-3125	mir-3125/3125
hsa-mir-3126	hsa-miR-3126-5p	mir-3126/5p
hsa-mir-3126	hsa-miR-3126-3p	mir-3126/3p
hsa-mir-3127	hsa-miR-3127-5p	mir-3127/5p
hsa-mir-3127	hsa-miR-3127-3p	mir-3127/3p
hsa-mir-3128	hsa-miR-3128	mir-3128/3128
hsa-mir-3129	hsa-miR-3129-5p	mir-3129/5p
hsa-mir-3129	hsa-miR-3129-3p	mir-3129/3p
hsa-mir-3130-1	hsa-miR-3130-5p	mir-3130-1/5p
hsa-mir-3130-1	hsa-miR-3130-3p	mir-3130-1/3p
hsa-mir-3130-2	hsa-miR-3130-5p	mir-3130-2/5p
hsa-mir-3130-2	hsa-miR-3130-3p	mir-3130-2/3p
hsa-mir-3131	hsa-miR-3131	mir-3131/3131
hsa-mir-3132	hsa-miR-3132	mir-3132/3132
hsa-mir-3133	hsa-miR-3133	mir-3133/3133
hsa-mir-3134	hsa-miR-3134	mir-3134/3134
hsa-mir-3135	hsa-miR-3135	mir-3135/3135
hsa-mir-3135b	hsa-miR-3135b	mir-3135b/3135b
hsa-mir-3136	hsa-miR-3136-5p	mir-3136/5p
hsa-mir-3136	hsa-miR-3136-3p	mir-3136/3p
hsa-mir-3137	hsa-miR-3137	mir-3137/3137
hsa-mir-3138	hsa-miR-3138	mir-3138/3138
hsa-mir-3139	hsa-miR-3139	mir-3139/3139
hsa-mir-3140	hsa-miR-3140-3p	mir-3140/3p
hsa-mir-3140	hsa-miR-3140-5p	mir-3140/5p
hsa-mir-3141	hsa-miR-3141	mir-3141/3141
hsa-mir-3142	hsa-miR-3142	mir-3142/3142
hsa-mir-3143	hsa-miR-3143	mir-3143/3143
hsa-mir-3144	hsa-miR-3144-5p	mir-3144/5p
hsa-mir-3144	hsa-miR-3144-3p	mir-3144/3p
hsa-mir-3145	hsa-miR-3145-3p	mir-3145/3p
hsa-mir-3145	hsa-miR-3145-5p	mir-3145/5p
hsa-mir-3146	hsa-miR-3146	mir-3146/3146
hsa-mir-3147	hsa-miR-3147	mir-3147/3147
hsa-mir-3148	hsa-miR-3148	mir-3148/3148
hsa-mir-3149	hsa-miR-3149	mir-3149/3149
hsa-mir-3150a	hsa-miR-3150a-3p	mir-3150a/3p
hsa-mir-3150a	hsa-miR-3150a-5p	mir-3150a/5p
hsa-mir-3150b	hsa-miR-3150b-3p	mir-3150b/3p
hsa-mir-3150b	hsa-miR-3150b-5p	mir-3150b/5p
hsa-mir-3151	hsa-miR-3151	mir-3151/3151
hsa-mir-3152	hsa-miR-3152-3p	mir-3152/3p
hsa-mir-3152	hsa-miR-3152-5p	mir-3152/5p
hsa-mir-3153	hsa-miR-3153	mir-3153/3153
hsa-mir-3154	hsa-miR-3154	mir-3154/3154
hsa-mir-3155	hsa-miR-3155	mir-3155/3155
hsa-mir-3155b	hsa-miR-3155b	mir-3155b/3155b
hsa-mir-3156-1	hsa-miR-3156-5p	mir-3156-1/5p
hsa-mir-3156-1	hsa-miR-3156-3p	mir-3156-1/3p
hsa-mir-3156-2	hsa-miR-3156-5p	mir-3156-2/5p
hsa-mir-3156-2	hsa-miR-3156-3p	mir-3156-2/3p
hsa-mir-3156-3	hsa-miR-3156-5p	mir-3156-3/5p
hsa-mir-3157	hsa-miR-3157-5p	mir-3157/5p
hsa-mir-3157	hsa-miR-3157-3p	mir-3157/3p
hsa-mir-3158-1	hsa-miR-3158-3p	mir-3158-1/3p
hsa-mir-3158-1	hsa-miR-3158-5p	mir-3158-1/5p
hsa-mir-3158-2	hsa-miR-3158-3p	mir-3158-2/3p
hsa-mir-3159	hsa-miR-3159	mir-3159/3159
hsa-mir-3160-1	hsa-miR-3160-3p	mir-3160-1/3p
hsa-mir-3160-1	hsa-miR-3160-5p	mir-3160-1/5p
hsa-mir-3160-2	hsa-miR-3160-3p	mir-3160-2/3p
hsa-mir-3160-2	hsa-miR-3160-5p	mir-3160-2/5p
hsa-mir-3161	hsa-miR-3161	mir-3161/3161
hsa-mir-3162	hsa-miR-3162-5p	mir-3162/5p
hsa-mir-3162	hsa-miR-3162-3p	mir-3162/3p
hsa-mir-3163	hsa-miR-3163	mir-3163/3163
hsa-mir-3164	hsa-miR-3164	mir-3164/3164
hsa-mir-3165	hsa-miR-3165	mir-3165/3165
hsa-mir-3166	hsa-miR-3166	mir-3166/3166
hsa-mir-3167	hsa-miR-3167	mir-3167/3167
hsa-mir-3168	hsa-miR-3168	mir-3168/3168
hsa-mir-3169	hsa-miR-3169	mir-3169/3169
hsa-mir-3170	hsa-miR-3170	mir-3170/3170
hsa-mir-3171	hsa-miR-3171	mir-3171/3171
hsa-mir-3173	hsa-miR-3173-3p	mir-3173/3p
hsa-mir-3173	hsa-miR-3173-5p	mir-3173/5p
hsa-mir-3174	hsa-miR-3174	mir-3174/3174
hsa-mir-3175	hsa-miR-3175	mir-3175/3175
hsa-mir-3176	hsa-miR-3176	mir-3176/3176
hsa-mir-3177	hsa-miR-3177-3p	mir-3177/3p
hsa-mir-3177	hsa-miR-3177-5p	mir-3177/5p
hsa-mir-3178	hsa-miR-3178	mir-3178/3178
hsa-mir-3179-1	hsa-miR-3179	mir-3179-1/3179
hsa-mir-3179-2	hsa-miR-3179	mir-3179-2/3179
hsa-mir-3179-3	hsa-miR-3179	mir-3179-3/3179
hsa-mir-3180-1	hsa-miR-3180-5p	mir-3180-1/5p
hsa-mir-3180-1	hsa-miR-3180-3p	mir-3180-1/3p
hsa-mir-3180-2	hsa-miR-3180-5p	mir-3180-2/5p
hsa-mir-3180-2	hsa-miR-3180-3p	mir-3180-2/3p
hsa-mir-3180-3	hsa-miR-3180-5p	mir-3180-3/5p
hsa-mir-3180-3	hsa-miR-3180-3p	mir-3180-3/3p
hsa-mir-3180-4	hsa-miR-3180	mir-3180-4/3180
hsa-mir-3180-5	hsa-miR-3180	mir-3180-5/3180
hsa-mir-3181	hsa-miR-3181	mir-3181/3181
hsa-mir-3182	hsa-miR-3182	mir-3182/3182
hsa-mir-3183	hsa-miR-3183	mir-3183/3183
hsa-mir-3184	hsa-miR-3184	mir-3184/3184
hsa-mir-3185	hsa-miR-3185	mir-3185/3185
hsa-mir-3186	hsa-miR-3186-5p	mir-3186/5p
hsa-mir-3186	hsa-miR-3186-3p	mir-3186/3p
hsa-mir-3187	hsa-miR-3187-3p	mir-3187/3p
hsa-mir-3187	hsa-miR-3187-5p	mir-3187/5p
hsa-mir-3188	hsa-miR-3188	mir-3188/3188
hsa-mir-3189	hsa-miR-3189-3p	mir-3189/3p
hsa-mir-3189	hsa-miR-3189-5p	mir-3189/5p
hsa-mir-3190	hsa-miR-3190	mir-3190/3190
hsa-mir-3191	hsa-miR-3191	mir-3191/3191
hsa-mir-3192	hsa-miR-3192	mir-3192/3192
hsa-mir-3193	hsa-miR-3193	mir-3193/3193
hsa-mir-3194	hsa-miR-3194-5p	mir-3194/5p
hsa-mir-3194	hsa-miR-3194-3p	mir-3194/3p
hsa-mir-3195	hsa-miR-3195	mir-3195/3195
hsa-mir-3196	hsa-miR-3196	mir-3196/3196
hsa-mir-3197	hsa-miR-3197	mir-3197/3197
hsa-mir-3198-1	hsa-miR-3198	mir-3198-1/3198
hsa-mir-3198-2	hsa-miR-3198	mir-3198-2/3198
hsa-mir-3199-1	hsa-miR-3199	mir-3199-1/3199
hsa-mir-3199-2	hsa-miR-3199	mir-3199-2/3199
hsa-mir-32	hsa-miR-32	mir-32/32
hsa-mir-32	hsa-miR-32*	mir-32/32*
hsa-mir-3200	hsa-miR-3200-5p	mir-3200/5p
hsa-mir-3200	hsa-miR-3200-3p	mir-3200/3p
hsa-mir-3201	hsa-miR-3201	mir-3201/3201
hsa-mir-3202-1	hsa-miR-3202	mir-3202-1/3202
hsa-mir-3202-2	hsa-miR-3202	mir-3202-2/3202
hsa-mir-320a	hsa-miR-320a	mir-320a/320a
hsa-mir-320b-1	hsa-miR-320b	mir-320b-1/320b
hsa-mir-320b-2	hsa-miR-320b	mir-320b-2/320b
hsa-mir-320c-1	hsa-miR-320c	mir-320c-1/320c
hsa-mir-320c-2	hsa-miR-320c	mir-320c-2/320c
hsa-mir-320d-1	hsa-miR-320d	mir-320d-1/320d
hsa-mir-320d-2	hsa-miR-320d	mir-320d-2/320d
hsa-mir-320e	hsa-miR-320e	mir-320e/320e
hsa-mir-323	hsa-miR-323-5p	mir-323/5p
hsa-mir-323	hsa-miR-323-3p	mir-323/3p
hsa-mir-323b	hsa-miR-323b-5p	mir-323b/5p
hsa-mir-323b	hsa-miR-323b-3p	mir-323b/3p
hsa-mir-324	hsa-miR-324-5p	mir-324/5p
hsa-mir-324	hsa-miR-324-3p	mir-324/3p
hsa-mir-325	hsa-miR-325	mir-325/325
hsa-mir-326	hsa-miR-326	mir-326/326
hsa-mir-328	hsa-miR-328	mir-328/328
hsa-mir-329-1	hsa-miR-329	mir-329-1/329
hsa-mir-329-2	hsa-miR-329	mir-329-2/329
hsa-mir-330	hsa-miR-330-5p	mir-330/5p
hsa-mir-330	hsa-miR-330-3p	mir-330/3p
hsa-mir-331	hsa-miR-331-5p	mir-331/5p
hsa-mir-331	hsa-miR-331-3p	mir-331/3p
hsa-mir-335	hsa-miR-335	mir-335/335
hsa-mir-335	hsa-miR-335*	mir-335/335*
hsa-mir-337	hsa-miR-337-5p	mir-337/5p
hsa-mir-337	hsa-miR-337-3p	mir-337/3p
hsa-mir-338	hsa-miR-338-5p	mir-338/5p
hsa-mir-338	hsa-miR-338-3p	mir-338/3p
hsa-mir-339	hsa-miR-339-5p	mir-339/5p
hsa-mir-339	hsa-miR-339-3p	mir-339/3p
hsa-mir-33a	hsa-miR-33a	mir-33a/33a
hsa-mir-33a	hsa-miR-33a*	mir-33a/33a*
hsa-mir-33b	hsa-miR-33b	mir-33b/33b
hsa-mir-33b	hsa-miR-33b*	mir-33b/33b*
hsa-mir-340	hsa-miR-340	mir-340/340
hsa-mir-340	hsa-miR-340*	mir-340/340*
hsa-mir-342	hsa-miR-342-5p	mir-342/5p
hsa-mir-342	hsa-miR-342-3p	mir-342/3p
hsa-mir-345	hsa-miR-345	mir-345/345
hsa-mir-346	hsa-miR-346	mir-346/346
hsa-mir-34a	hsa-miR-34a	mir-34a/34a
hsa-mir-34a	hsa-miR-34a*	mir-34a/34a*
hsa-mir-34b	hsa-miR-34b*	mir-34b/34b*
hsa-mir-34b	hsa-miR-34b	mir-34b/34b
hsa-mir-34c	hsa-miR-34c-5p	mir-34c/5p
hsa-mir-34c	hsa-miR-34c-3p	mir-34c/3p
hsa-mir-3529	hsa-miR-3529	mir-3529/3529
hsa-mir-3545	hsa-miR-3545-5p	mir-3545/5p
hsa-mir-3545	hsa-miR-3545-3p	mir-3545/3p
hsa-mir-3591	hsa-miR-3591-5p	mir-3591/5p
hsa-mir-3591	hsa-miR-3591-3p	mir-3591/3p
hsa-mir-3605	hsa-miR-3605-5p	mir-3605/5p
hsa-mir-3605	hsa-miR-3605-3p	mir-3605/3p
hsa-mir-3606	hsa-miR-3606	mir-3606/3606
hsa-mir-3607	hsa-miR-3607-5p	mir-3607/5p
hsa-mir-3607	hsa-miR-3607-3p	mir-3607/3p
hsa-mir-3609	hsa-miR-3609	mir-3609/3609
hsa-mir-361	hsa-miR-361-5p	mir-361/5p
hsa-mir-361	hsa-miR-361-3p	mir-361/3p
hsa-mir-3610	hsa-miR-3610	mir-3610/3610
hsa-mir-3611	hsa-miR-3611	mir-3611/3611
hsa-mir-3612	hsa-miR-3612	mir-3612/3612
hsa-mir-3613	hsa-miR-3613-5p	mir-3613/5p
hsa-mir-3613	hsa-miR-3613-3p	mir-3613/3p
hsa-mir-3614	hsa-miR-3614-5p	mir-3614/5p
hsa-mir-3614	hsa-miR-3614-3p	mir-3614/3p
hsa-mir-3615	hsa-miR-3615	mir-3615/3615
hsa-mir-3616	hsa-miR-3616-5p	mir-3616/5p
hsa-mir-3616	hsa-miR-3616-3p	mir-3616/3p
hsa-mir-3617	hsa-miR-3617	mir-3617/3617
hsa-mir-3618	hsa-miR-3618	mir-3618/3618
hsa-mir-3619	hsa-miR-3619-5p	mir-3619/5p
hsa-mir-3619	hsa-miR-3619-3p	mir-3619/3p
hsa-mir-362	hsa-miR-362-5p	mir-362/5p
hsa-mir-362	hsa-miR-362-3p	mir-362/3p
hsa-mir-3620	hsa-miR-3620	mir-3620/3620
hsa-mir-3621	hsa-miR-3621	mir-3621/3621
hsa-mir-3622a	hsa-miR-3622a-5p	mir-3622a/5p
hsa-mir-3622a	hsa-miR-3622a-3p	mir-3622a/3p
hsa-mir-3622b	hsa-miR-3622b-5p	mir-3622b/5p
hsa-mir-3622b	hsa-miR-3622b-3p	mir-3622b/3p
hsa-mir-363	hsa-miR-363*	mir-363/363*
hsa-mir-363	hsa-miR-363	mir-363/363
hsa-mir-3646	hsa-miR-3646	mir-3646/3646
hsa-mir-3647	hsa-miR-3647-5p	mir-3647/5p
hsa-mir-3647	hsa-miR-3647-3p	mir-3647/3p
hsa-mir-3648	hsa-miR-3648	mir-3648/3648
hsa-mir-3649	hsa-miR-3649	mir-3649/3649
hsa-mir-365-1	hsa-miR-365	mir-365-1/365
hsa-mir-365-2	hsa-miR-365*	mir-365-2/365*
hsa-mir-365-2	hsa-miR-365	mir-365-2/365
hsa-mir-3650	hsa-miR-3650	mir-3650/3650
hsa-mir-3651	hsa-miR-3651	mir-3651/3651
hsa-mir-3652	hsa-miR-3652	mir-3652/3652
hsa-mir-3653	hsa-miR-3653	mir-3653/3653
hsa-mir-3654	hsa-miR-3654	mir-3654/3654
hsa-mir-3655	hsa-miR-3655	mir-3655/3655
hsa-mir-3656	hsa-miR-3656	mir-3656/3656
hsa-mir-3657	hsa-miR-3657	mir-3657/3657
hsa-mir-3658	hsa-miR-3658	mir-3658/3658
hsa-mir-3659	hsa-miR-3659	mir-3659/3659
hsa-mir-3660	hsa-miR-3660	mir-3660/3660
hsa-mir-3661	hsa-miR-3661	mir-3661/3661
hsa-mir-3662	hsa-miR-3662	mir-3662/3662
hsa-mir-3663	hsa-miR-3663-5p	mir-3663/5p
hsa-mir-3663	hsa-miR-3663-3p	mir-3663/3p
hsa-mir-3664	hsa-miR-3664-5p	mir-3664/5p
hsa-mir-3664	hsa-miR-3664-3p	mir-3664/3p
hsa-mir-3665	hsa-miR-3665	mir-3665/3665
hsa-mir-3666	hsa-miR-3666	mir-3666/3666
hsa-mir-3667	hsa-miR-3667-5p	mir-3667/5p
hsa-mir-3667	hsa-miR-3667-3p	mir-3667/3p
hsa-mir-3668	hsa-miR-3668	mir-3668/3668
hsa-mir-3669	hsa-miR-3669	mir-3669/3669
hsa-mir-367	hsa-miR-367*	mir-367/367*
hsa-mir-367	hsa-miR-367	mir-367/367
hsa-mir-3670	hsa-miR-3670	mir-3670/3670
hsa-mir-3671	hsa-miR-3671	mir-3671/3671
hsa-mir-3672	hsa-miR-3672	mir-3672/3672
hsa-mir-3673	hsa-miR-3673	mir-3673/3673
hsa-mir-3674	hsa-miR-3674	mir-3674/3674
hsa-mir-3675	hsa-miR-3675-5p	mir-3675/5p
hsa-mir-3675	hsa-miR-3675-3p	mir-3675/3p
hsa-mir-3676	hsa-miR-3676	mir-3676/3676
hsa-mir-3677	hsa-miR-3677-3p	mir-3677/3p
hsa-mir-3677	hsa-miR-3677-5p	mir-3677/5p
hsa-mir-3678	hsa-miR-3678-5p	mir-3678/5p
hsa-mir-3678	hsa-miR-3678-3p	mir-3678/3p
hsa-mir-3679	hsa-miR-3679-5p	mir-3679/5p
hsa-mir-3679	hsa-miR-3679-3p	mir-3679/3p
hsa-mir-3680	hsa-miR-3680	mir-3680/3680
hsa-mir-3680	hsa-miR-3680*	mir-3680/3680*
hsa-mir-3681	hsa-miR-3681	mir-3681/3681
hsa-mir-3681	hsa-miR-3681*	mir-3681/3681*
hsa-mir-3682	hsa-miR-3682-3p	mir-3682/3p
hsa-mir-3682	hsa-miR-3682-5p	mir-3682/5p
hsa-mir-3683	hsa-miR-3683	mir-3683/3683
hsa-mir-3684	hsa-miR-3684	mir-3684/3684
hsa-mir-3685	hsa-miR-3685	mir-3685/3685
hsa-mir-3686	hsa-miR-3686	mir-3686/3686
hsa-mir-3687	hsa-miR-3687	mir-3687/3687
hsa-mir-3688-1	hsa-miR-3688-3p	mir-3688-1/3p
hsa-mir-3688-1	hsa-miR-3688-5p	mir-3688-1/5p
hsa-mir-3688-2	hsa-miR-3688-3p	mir-3688-2/3p
hsa-mir-3688-2	hsa-miR-3688-5p	mir-3688-2/5p
hsa-mir-3689a	hsa-miR-3689a-5p	mir-3689a/5p
hsa-mir-3689a	hsa-miR-3689a-3p	mir-3689a/3p
hsa-mir-3689b	hsa-miR-3689b	mir-3689b/3689b
hsa-mir-3689b	hsa-miR-3689b*	mir-3689b/3689b*
hsa-mir-3689c	hsa-miR-3689c	mir-3689c/3689c
hsa-mir-3689d-1	hsa-miR-3689d	mir-3689d-1/3689d
hsa-mir-3689d-2	hsa-miR-3689d	mir-3689d-2/3689d
hsa-mir-3689e	hsa-miR-3689e	mir-3689e/3689e
hsa-mir-3689f	hsa-miR-3689f	mir-3689f/3689f
hsa-mir-369	hsa-miR-369-5p	mir-369/5p
hsa-mir-369	hsa-miR-369-3p	mir-369/3p
hsa-mir-3690	hsa-miR-3690	mir-3690/3690
hsa-mir-3691	hsa-miR-3691-5p	mir-3691/5p
hsa-mir-3691	hsa-miR-3691-3p	mir-3691/3p
hsa-mir-3692	hsa-miR-3692*	mir-3692/3692*
hsa-mir-3692	hsa-miR-3692	mir-3692/3692
hsa-mir-370	hsa-miR-370	mir-370/370
hsa-mir-371	hsa-miR-371-5p	mir-371/5p
hsa-mir-371	hsa-miR-371-3p	mir-371/3p
hsa-mir-3713	hsa-miR-3713	mir-3713/3713
hsa-mir-3714	hsa-miR-3714	mir-3714/3714
hsa-mir-371b	hsa-miR-371b-5p	mir-371b/5p
hsa-mir-371b	hsa-miR-371b-3p	mir-371b/3p
hsa-mir-372	hsa-miR-372	mir-372/372
hsa-mir-373	hsa-miR-373*	mir-373/373*
hsa-mir-373	hsa-miR-373	mir-373/373
hsa-mir-374a	hsa-miR-374a	mir-374a/374a
hsa-mir-374a	hsa-miR-374a*	mir-374a/374a*
hsa-mir-374b	hsa-miR-374b	mir-374b/374b
hsa-mir-374b	hsa-miR-374b*	mir-374b/374b*
hsa-mir-374c	hsa-miR-374c	mir-374c/374c
hsa-mir-375	hsa-miR-375	mir-375/375
hsa-mir-376a-1	hsa-miR-376a*	mir-376a-1/376a*
hsa-mir-376a-1	hsa-miR-376a	mir-376a-1/376a
hsa-mir-376a-2	hsa-miR-376a	mir-376a-2/376a
hsa-mir-376b	hsa-miR-376b	mir-376b/376b
hsa-mir-376c	hsa-miR-376c	mir-376c/376c
hsa-mir-377	hsa-miR-377*	mir-377/377*
hsa-mir-377	hsa-miR-377	mir-377/377
hsa-mir-378	hsa-miR-378*	mir-378/378*
hsa-mir-378	hsa-miR-378	mir-378/378
hsa-mir-378b	hsa-miR-378b	mir-378b/378b
hsa-mir-378c	hsa-miR-378c	mir-378c/378c
hsa-mir-378d-1	hsa-miR-378d	mir-378d-1/378d
hsa-mir-378d-2	hsa-miR-378d	mir-378d-2/378d
hsa-mir-378e	hsa-miR-378e	mir-378e/378e
hsa-mir-378f	hsa-miR-378f	mir-378f/378f
hsa-mir-378g	hsa-miR-378g	mir-378g/378g
hsa-mir-378h	hsa-miR-378h	mir-378h/378h
hsa-mir-378i	hsa-miR-378i	mir-378i/378i
hsa-mir-379	hsa-miR-379	mir-379/379
hsa-mir-379	hsa-miR-379*	mir-379/379*
hsa-mir-380	hsa-miR-380*	mir-380/380*
hsa-mir-380	hsa-miR-380	mir-380/380
hsa-mir-381	hsa-miR-381	mir-381/381
hsa-mir-382	hsa-miR-382	mir-382/382
hsa-mir-383	hsa-miR-383	mir-383/383
hsa-mir-384	hsa-miR-384	mir-384/384
hsa-mir-3907	hsa-miR-3907	mir-3907/3907
hsa-mir-3908	hsa-miR-3908	mir-3908/3908
hsa-mir-3909	hsa-miR-3909	mir-3909/3909
hsa-mir-3910-1	hsa-miR-3910	mir-3910-1/3910
hsa-mir-3910-2	hsa-miR-3910	mir-3910-2/3910
hsa-mir-3911	hsa-miR-3911	mir-3911/3911
hsa-mir-3912	hsa-miR-3912	mir-3912/3912
hsa-mir-3913-1	hsa-miR-3913-5p	mir-3913-1/5p
hsa-mir-3913-1	hsa-miR-3913-3p	mir-3913-1/3p
hsa-mir-3913-2	hsa-miR-3913-5p	mir-3913-2/5p
hsa-mir-3914-1	hsa-miR-3914	mir-3914-1/3914
hsa-mir-3914-2	hsa-miR-3914	mir-3914-2/3914
hsa-mir-3915	hsa-miR-3915	mir-3915/3915
hsa-mir-3916	hsa-miR-3916	mir-3916/3916
hsa-mir-3917	hsa-miR-3917	mir-3917/3917
hsa-mir-3918	hsa-miR-3918	mir-3918/3918
hsa-mir-3919	hsa-miR-3919	mir-3919/3919
hsa-mir-3920	hsa-miR-3920	mir-3920/3920
hsa-mir-3921	hsa-miR-3921	mir-3921/3921
hsa-mir-3922	hsa-miR-3922-3p	mir-3922/3p
hsa-mir-3922	hsa-miR-3922-5p	mir-3922/5p
hsa-mir-3923	hsa-miR-3923	mir-3923/3923
hsa-mir-3924	hsa-miR-3924	mir-3924/3924
hsa-mir-3925	hsa-miR-3925-5p	mir-3925/5p
hsa-mir-3925	hsa-miR-3925-3p	mir-3925/3p
hsa-mir-3926-1	hsa-miR-3926	mir-3926-1/3926
hsa-mir-3926-2	hsa-miR-3926	mir-3926-2/3926
hsa-mir-3927	hsa-miR-3927	mir-3927/3927
hsa-mir-3928	hsa-miR-3928	mir-3928/3928
hsa-mir-3929	hsa-miR-3929	mir-3929/3929
hsa-mir-3934	hsa-miR-3934	mir-3934/3934
hsa-mir-3935	hsa-miR-3935	mir-3935/3935
hsa-mir-3936	hsa-miR-3936	mir-3936/3936
hsa-mir-3937	hsa-miR-3937	mir-3937/3937
hsa-mir-3938	hsa-miR-3938	mir-3938/3938
hsa-mir-3939	hsa-miR-3939	mir-3939/3939
hsa-mir-3940	hsa-miR-3940-3p	mir-3940/3p
hsa-mir-3940	hsa-miR-3940-5p	mir-3940/5p
hsa-mir-3941	hsa-miR-3941	mir-3941/3941
hsa-mir-3942	hsa-miR-3942-5p	mir-3942/5p
hsa-mir-3942	hsa-miR-3942-3p	mir-3942/3p
hsa-mir-3943	hsa-miR-3943	mir-3943/3943
hsa-mir-3944	hsa-miR-3944-3p	mir-3944/3p
hsa-mir-3944	hsa-miR-3944-5p	mir-3944/5p
hsa-mir-3945	hsa-miR-3945	mir-3945/3945
hsa-mir-3960	hsa-miR-3960	mir-3960/3960
hsa-mir-3972	hsa-miR-3972	mir-3972/3972
hsa-mir-3973	hsa-miR-3973	mir-3973/3973
hsa-mir-3974	hsa-miR-3974	mir-3974/3974
hsa-mir-3975	hsa-miR-3975	mir-3975/3975
hsa-mir-3976	hsa-miR-3976	mir-3976/3976
hsa-mir-3977	hsa-miR-3977	mir-3977/3977
hsa-mir-3978	hsa-miR-3978	mir-3978/3978
hsa-mir-409	hsa-miR-409-5p	mir-409/5p
hsa-mir-409	hsa-miR-409-3p	mir-409/3p
hsa-mir-410	hsa-miR-410	mir-410/410
hsa-mir-411	hsa-miR-411	mir-411/411
hsa-mir-411	hsa-miR-411*	mir-411/411*
hsa-mir-412	hsa-miR-412	mir-412/412
hsa-mir-421	hsa-miR-421	mir-421/421
hsa-mir-422a	hsa-miR-422a	mir-422a/422a
hsa-mir-423	hsa-miR-423-5p	mir-423/5p
hsa-mir-423	hsa-miR-423-3p	mir-423/3p
hsa-mir-424	hsa-miR-424	mir-424/424
hsa-mir-424	hsa-miR-424*	mir-424/424*
hsa-mir-425	hsa-miR-425	mir-425/425
hsa-mir-425	hsa-miR-425*	mir-425/425*
hsa-mir-4251	hsa-miR-4251	mir-4251/4251
hsa-mir-4252	hsa-miR-4252	mir-4252/4252
