mature	genome_ID
hsa-miR-1289	hsa-mir-1289-2
hsa-miR-129-3p	hsa-mir-129-2
hsa-miR-129-5p	hsa-mir-129-1
hsa-miR-129-5p	hsa-mir-129-2
hsa-miR-129*	hsa-mir-129-1
hsa-miR-1290	hsa-mir-1290
hsa-miR-1291	hsa-mir-1291
hsa-miR-1292	hsa-mir-1292
hsa-miR-1293	hsa-mir-1293
hsa-miR-1294	hsa-mir-1294
hsa-miR-1295	hsa-mir-1295
hsa-miR-1296	hsa-mir-1296
hsa-miR-1297	hsa-mir-1297
hsa-miR-1298	hsa-mir-1298
hsa-miR-1299	hsa-mir-1299
hsa-miR-1301	hsa-mir-1301
hsa-miR-1302	hsa-mir-1302-1
hsa-miR-1302	hsa-mir-1302-2
hsa-miR-1302	hsa-mir-1302-3
hsa-miR-1302	hsa-mir-1302-4
hsa-miR-1302	hsa-mir-1302-5
hsa-miR-1302	hsa-mir-1302-6
hsa-miR-1302	hsa-mir-1302-7
hsa-miR-1302	hsa-mir-1302-8
hsa-miR-1303	hsa-mir-1303
hsa-miR-1304	hsa-mir-1304
hsa-miR-1305	hsa-mir-1305
hsa-miR-1306	hsa-mir-1306
hsa-miR-1307	hsa-mir-1307
hsa-miR-1308	hsa-mir-1308
hsa-miR-130a	hsa-mir-130a
hsa-miR-130a*	hsa-mir-130a
hsa-miR-130b	hsa-mir-130b
hsa-miR-130b*	hsa-mir-130b
hsa-miR-132	hsa-mir-132
hsa-miR-132*	hsa-mir-132
hsa-miR-1321	hsa-mir-1321
hsa-miR-1322	hsa-mir-1322
hsa-miR-1323	hsa-mir-1323
hsa-miR-1324	hsa-mir-1324
hsa-miR-133a	hsa-mir-133a-1
hsa-miR-133a	hsa-mir-133a-2
hsa-miR-133b	hsa-mir-133b
hsa-miR-134	hsa-mir-134
hsa-miR-135a	hsa-mir-135a-1
hsa-miR-135a	hsa-mir-135a-2
hsa-miR-135a*	hsa-mir-135a-1
hsa-miR-135b	hsa-mir-135b
hsa-miR-135b*	hsa-mir-135b
hsa-miR-136	hsa-mir-136
hsa-miR-136*	hsa-mir-136
hsa-miR-137	hsa-mir-137
hsa-miR-138	hsa-mir-138-1
hsa-miR-138	hsa-mir-138-2
hsa-miR-138-1*	hsa-mir-138-1
hsa-miR-138-2*	hsa-mir-138-2
hsa-miR-139-3p	hsa-mir-139
hsa-miR-139-5p	hsa-mir-139
hsa-miR-140-3p	hsa-mir-140
hsa-miR-140-5p	hsa-mir-140
hsa-miR-141	hsa-mir-141
hsa-miR-141*	hsa-mir-141
hsa-miR-142-3p	hsa-mir-142
hsa-miR-142-5p	hsa-mir-142
hsa-miR-143	hsa-mir-143
hsa-miR-143*	hsa-mir-143
hsa-miR-144	hsa-mir-144
hsa-miR-144*	hsa-mir-144
hsa-miR-145	hsa-mir-145
hsa-miR-145*	hsa-mir-145
hsa-miR-1468	hsa-mir-1468
hsa-miR-1469	hsa-mir-1469
hsa-miR-146a	hsa-mir-146a
hsa-miR-146a*	hsa-mir-146a
hsa-miR-146b-3p	hsa-mir-146b
hsa-miR-146b-5p	hsa-mir-146b
hsa-miR-147	hsa-mir-147
hsa-miR-1470	hsa-mir-1470
hsa-miR-1471	hsa-mir-1471
hsa-miR-147b	hsa-mir-147b
hsa-miR-148a	hsa-mir-148a
hsa-miR-148a*	hsa-mir-148a
hsa-miR-148b	hsa-mir-148b
hsa-miR-148b*	hsa-mir-148b
hsa-miR-149	hsa-mir-149
hsa-miR-149*	hsa-mir-149
hsa-miR-150	hsa-mir-150
hsa-miR-150*	hsa-mir-150
hsa-miR-151-3p	hsa-mir-151
hsa-miR-151-5p	hsa-mir-151
hsa-miR-152	hsa-mir-152
hsa-miR-153	hsa-mir-153-1
hsa-miR-153	hsa-mir-153-2
hsa-miR-1537	hsa-mir-1537
hsa-miR-1538	hsa-mir-1538
hsa-miR-1539	hsa-mir-1539
hsa-miR-154	hsa-mir-154
hsa-miR-154*	hsa-mir-154
hsa-miR-155	hsa-mir-155
hsa-miR-155*	hsa-mir-155
hsa-miR-15a	hsa-mir-15a
hsa-miR-15a*	hsa-mir-15a
hsa-miR-15b	hsa-mir-15b
hsa-miR-15b*	hsa-mir-15b
hsa-miR-16	hsa-mir-16-1
hsa-miR-16	hsa-mir-16-2
hsa-miR-16-1*	hsa-mir-16-1
hsa-miR-16-2*	hsa-mir-16-2
hsa-miR-17	hsa-mir-17
hsa-miR-17*	hsa-mir-17
hsa-miR-181a	hsa-mir-181a-1
hsa-miR-181a	hsa-mir-181a-2
hsa-miR-181a-2*	hsa-mir-181a-2
hsa-miR-181a*	hsa-mir-181a-1
hsa-miR-181b	hsa-mir-181b-1
hsa-miR-181b	hsa-mir-181b-2
hsa-miR-181c	hsa-mir-181c
hsa-miR-181c*	hsa-mir-181c
hsa-miR-181d	hsa-mir-181d
hsa-miR-182	hsa-mir-182
hsa-miR-182*	hsa-mir-182
hsa-miR-1825	hsa-mir-1825
hsa-miR-1826	hsa-mir-1826
hsa-miR-1827	hsa-mir-1827
hsa-miR-183	hsa-mir-183
hsa-miR-183*	hsa-mir-183
hsa-miR-184	hsa-mir-184
hsa-miR-185	hsa-mir-185
hsa-miR-185*	hsa-mir-185
hsa-miR-186	hsa-mir-186
hsa-miR-186*	hsa-mir-186
hsa-miR-187	hsa-mir-187
hsa-miR-187*	hsa-mir-187
hsa-miR-188-3p	hsa-mir-188
hsa-miR-188-5p	hsa-mir-188
hsa-miR-18a	hsa-mir-18a
hsa-miR-18a*	hsa-mir-18a
hsa-miR-18b	hsa-mir-18b
hsa-miR-18b*	hsa-mir-18b
hsa-miR-190	hsa-mir-190
