precusor	mature	alias
hsa-mir-7850	hsa-miR-7850-5p	mir-7850/5p
hsa-mir-6793	hsa-miR-6793-5p	mir-6793/5p
hsa-mir-6793	hsa-miR-6793-3p	mir-6793/3p
hsa-mir-7852	hsa-miR-7852-3p	mir-7852/3p
hsa-mir-7854	hsa-miR-7854-3p	mir-7854/3p
hsa-mir-7855	hsa-miR-7855-5p	mir-7855/5p
hsa-mir-7856	hsa-miR-7856-5p	mir-7856/5p
hsa-mir-548ba	hsa-miR-548ba	mir-548ba/548ba
hsa-mir-6792	hsa-miR-6792-5p	mir-6792/5p
hsa-mir-6792	hsa-miR-6792-3p	mir-6792/3p
hsa-mir-6791	hsa-miR-6791-5p	mir-6791/5p
hsa-mir-6791	hsa-miR-6791-3p	mir-6791/3p
hsa-mir-6790	hsa-miR-6790-5p	mir-6790/5p
hsa-mir-6790	hsa-miR-6790-3p	mir-6790/3p
hsa-mir-6789	hsa-miR-6789-5p	mir-6789/5p
hsa-mir-6789	hsa-miR-6789-3p	mir-6789/3p
hsa-mir-6788	hsa-miR-6788-5p	mir-6788/5p
hsa-mir-7974	hsa-miR-7974	mir-7974/7974
hsa-mir-7976	hsa-miR-7976	mir-7976/7976
hsa-mir-7977	hsa-miR-7977	mir-7977/7977
hsa-mir-7978	hsa-miR-7978	mir-7978/7978
hsa-mir-8054	hsa-miR-8054	mir-8054/8054
hsa-mir-6721	hsa-miR-6721-5p	mir-6721/5p
hsa-mir-8056	hsa-miR-8056	mir-8056/8056
hsa-mir-6788	hsa-miR-6788-3p	mir-6788/3p
hsa-mir-6787	hsa-miR-6787-5p	mir-6787/5p
hsa-mir-6787	hsa-miR-6787-3p	mir-6787/3p
hsa-mir-6786	hsa-miR-6786-5p	mir-6786/5p
hsa-mir-6786	hsa-miR-6786-3p	mir-6786/3p
hsa-mir-6785	hsa-miR-6785-5p	mir-6785/5p
hsa-mir-8058	hsa-miR-8058	mir-8058/8058
hsa-mir-8060	hsa-miR-8060	mir-8060/8060
hsa-mir-8062	hsa-miR-8062	mir-8062/8062
hsa-mir-8065	hsa-miR-8065	mir-8065/8065
hsa-mir-6785	hsa-miR-6785-3p	mir-6785/3p
hsa-mir-6784	hsa-miR-6784-5p	mir-6784/5p
hsa-mir-8066	hsa-miR-8066	mir-8066/8066
hsa-mir-6784	hsa-miR-6784-3p	mir-6784/3p
hsa-mir-6783	hsa-miR-6783-5p	mir-6783/5p
hsa-mir-8067	hsa-miR-8067	mir-8067/8067
hsa-mir-8070	hsa-miR-8070	mir-8070/8070
hsa-mir-8071-1	hsa-miR-8071	mir-8071-1/8071
hsa-mir-8073	hsa-miR-8073	mir-8073/8073
hsa-mir-8074	hsa-miR-8074	mir-8074/8074
hsa-mir-6783	hsa-miR-6783-3p	mir-6783/3p
hsa-mir-6782	hsa-miR-6782-5p	mir-6782/5p
hsa-mir-8075	hsa-miR-8075	mir-8075/8075
hsa-mir-8077	hsa-miR-8077	mir-8077/8077
hsa-mir-8079	hsa-miR-8079	mir-8079/8079
hsa-mir-8080	hsa-miR-8080	mir-8080/8080
hsa-mir-8082	hsa-miR-8082	mir-8082/8082
hsa-mir-8085	hsa-miR-8085	mir-8085/8085
hsa-mir-6782	hsa-miR-6782-3p	mir-6782/3p
hsa-mir-6781	hsa-miR-6781-5p	mir-6781/5p
hsa-mir-8086	hsa-miR-8086	mir-8086/8086
hsa-mir-8087	hsa-miR-8087	mir-8087/8087
hsa-mir-8089	hsa-miR-8089	mir-8089/8089
hsa-mir-6781	hsa-miR-6781-3p	mir-6781/3p
hsa-mir-6780b	hsa-miR-6780b-5p	mir-6780b/5p
hsa-mir-6780b	hsa-miR-6780b-3p	mir-6780b/3p
hsa-mir-6780a	hsa-miR-6780a-5p	mir-6780a/5p
hsa-mir-10226	hsa-miR-10226	mir-10226/10226
hsa-mir-6780a	hsa-miR-6780a-3p	mir-6780a/3p
hsa-mir-6779	hsa-miR-6779-5p	mir-6779/5p
hsa-mir-6779	hsa-miR-6779-3p	mir-6779/3p
hsa-mir-6778	hsa-miR-6778-5p	mir-6778/5p
hsa-mir-6778	hsa-miR-6778-3p	mir-6778/3p
hsa-mir-6777	hsa-miR-6777-5p	mir-6777/5p
hsa-mir-6777	hsa-miR-6777-3p	mir-6777/3p
hsa-mir-6776	hsa-miR-6776-5p	mir-6776/5p
hsa-mir-6776	hsa-miR-6776-3p	mir-6776/3p
hsa-mir-6775	hsa-miR-6775-5p	mir-6775/5p
hsa-mir-6775	hsa-miR-6775-3p	mir-6775/3p
hsa-mir-6774	hsa-miR-6774-5p	mir-6774/5p
hsa-mir-6774	hsa-miR-6774-3p	mir-6774/3p
hsa-mir-6773	hsa-miR-6773-5p	mir-6773/5p
hsa-mir-6773	hsa-miR-6773-3p	mir-6773/3p
hsa-mir-6772	hsa-miR-6772-5p	mir-6772/5p
hsa-mir-6772	hsa-miR-6772-3p	mir-6772/3p
hsa-mir-6771	hsa-miR-6771-5p	mir-6771/5p
hsa-mir-6771	hsa-miR-6771-3p	mir-6771/3p
hsa-mir-6770-3	hsa-miR-6770-5p	mir-6770-3/5p
hsa-mir-6770-3	hsa-miR-6770-3p	mir-6770-3/3p
hsa-mir-6770-2	hsa-miR-6770-5p	mir-6770-2/5p
hsa-mir-6770-2	hsa-miR-6770-3p	mir-6770-2/3p
hsa-mir-6770-1	hsa-miR-6770-5p	mir-6770-1/5p
hsa-mir-6844	hsa-miR-6844	mir-6844/6844
hsa-mir-6770-1	hsa-miR-6770-3p	mir-6770-1/3p
hsa-mir-6769b	hsa-miR-6769b-5p	mir-6769b/5p
hsa-mir-6769b	hsa-miR-6769b-3p	mir-6769b/3p
hsa-mir-6769a	hsa-miR-6769a-5p	mir-6769a/5p
hsa-mir-6769a	hsa-miR-6769a-3p	mir-6769a/3p
hsa-mir-6768	hsa-miR-6768-5p	mir-6768/5p
hsa-mir-6768	hsa-miR-6768-3p	mir-6768/3p
hsa-mir-6767	hsa-miR-6767-5p	mir-6767/5p
hsa-mir-6767	hsa-miR-6767-3p	mir-6767/3p
hsa-mir-6766	hsa-miR-6766-5p	mir-6766/5p
hsa-mir-6766	hsa-miR-6766-3p	mir-6766/3p
hsa-mir-6765	hsa-miR-6765-5p	mir-6765/5p
hsa-mir-6765	hsa-miR-6765-3p	mir-6765/3p
hsa-mir-6764	hsa-miR-6764-5p	mir-6764/5p
hsa-mir-6764	hsa-miR-6764-3p	mir-6764/3p
hsa-mir-6763	hsa-miR-6763-5p	mir-6763/5p
hsa-mir-6763	hsa-miR-6763-3p	mir-6763/3p
hsa-mir-6762	hsa-miR-6762-5p	mir-6762/5p
hsa-mir-6762	hsa-miR-6762-3p	mir-6762/3p
hsa-mir-6761	hsa-miR-6761-5p	mir-6761/5p
hsa-mir-9983	hsa-miR-9983-3p	mir-9983/3p
hsa-mir-6761	hsa-miR-6761-3p	mir-6761/3p
hsa-mir-6760	hsa-miR-6760-5p	mir-6760/5p
hsa-mir-6760	hsa-miR-6760-3p	mir-6760/3p
hsa-mir-676	hsa-miR-676-5p	mir-676/5p
hsa-mir-676	hsa-miR-676-3p	mir-676/3p
hsa-mir-676	hsa-miR-676*	mir-676/676*
hsa-mir-676	hsa-miR-676	mir-676/676
hsa-mir-6759	hsa-miR-6759-5p	mir-6759/5p
hsa-mir-6759	hsa-miR-6759-3p	mir-6759/3p
hsa-mir-6758	hsa-miR-6758-5p	mir-6758/5p
hsa-mir-6758	hsa-miR-6758-3p	mir-6758/3p
hsa-mir-6757	hsa-miR-6757-5p	mir-6757/5p
hsa-mir-6757	hsa-miR-6757-3p	mir-6757/3p
hsa-mir-6756	hsa-miR-6756-5p	mir-6756/5p
hsa-mir-6756	hsa-miR-6756-3p	mir-6756/3p
hsa-mir-6755	hsa-miR-6755-5p	mir-6755/5p
hsa-mir-6755	hsa-miR-6755-3p	mir-6755/3p
hsa-mir-6754	hsa-miR-6754-5p	mir-6754/5p
hsa-mir-6754	hsa-miR-6754-3p	mir-6754/3p
hsa-mir-6753	hsa-miR-6753-5p	mir-6753/5p
hsa-mir-6753	hsa-miR-6753-3p	mir-6753/3p
hsa-mir-6752	hsa-miR-6752-5p	mir-6752/5p
hsa-mir-6752	hsa-miR-6752-3p	mir-6752/3p
hsa-mir-6751	hsa-miR-6751-5p	mir-6751/5p
hsa-mir-6751	hsa-miR-6751-3p	mir-6751/3p
hsa-mir-6750	hsa-miR-6750-5p	mir-6750/5p
hsa-mir-6750	hsa-miR-6750-3p	mir-6750/3p
hsa-mir-675	hsa-miR-675-5p	mir-675/5p
hsa-mir-675	hsa-miR-675-3p	mir-675/3p
hsa-mir-675	hsa-miR-675b	mir-675/675b
hsa-mir-675	hsa-miR-675	mir-675/675
hsa-mir-675	hsa-miR-675*	mir-675/675*
hsa-mir-6749	hsa-miR-6749-5p	mir-6749/5p
hsa-mir-6749	hsa-miR-6749-3p	mir-6749/3p
hsa-mir-3687-1	hsa-miR-3687	mir-3687-1/3687
hsa-mir-6748	hsa-miR-6748-5p	mir-6748/5p
hsa-mir-6748	hsa-miR-6748-3p	mir-6748/3p
hsa-mir-6747	hsa-miR-6747-5p	mir-6747/5p
hsa-mir-6747	hsa-miR-6747-3p	mir-6747/3p
hsa-mir-7515	hsa-miR-7515	mir-7515/7515
hsa-mir-6746	hsa-miR-6746-5p	mir-6746/5p
hsa-mir-6746	hsa-miR-6746-3p	mir-6746/3p
hsa-mir-6744	hsa-miR-6744-5p	mir-6744/5p
hsa-mir-6744	hsa-miR-6744-3p	mir-6744/3p
hsa-mir-6743	hsa-miR-6743-5p	mir-6743/5p
hsa-mir-6743	hsa-miR-6743-3p	mir-6743/3p
hsa-mir-6742	hsa-miR-6742-5p	mir-6742/5p
hsa-mir-6742	hsa-miR-6742-3p	mir-6742/3p
hsa-mir-6741	hsa-miR-6741-5p	mir-6741/5p
hsa-mir-6741	hsa-miR-6741-3p	mir-6741/3p
hsa-mir-6740	hsa-miR-6740-5p	mir-6740/5p
hsa-mir-6740	hsa-miR-6740-3p	mir-6740/3p
hsa-mir-6739	hsa-miR-6739-5p	mir-6739/5p
hsa-mir-6739	hsa-miR-6739-3p	mir-6739/3p
hsa-mir-6738	hsa-miR-6738-5p	mir-6738/5p
hsa-mir-6738	hsa-miR-6738-3p	mir-6738/3p
hsa-mir-7973-1	hsa-miR-7973	mir-7973-1/7973
hsa-mir-6737	hsa-miR-6737-5p	mir-6737/5p
hsa-mir-6737	hsa-miR-6737-3p	mir-6737/3p
hsa-mir-6736	hsa-miR-6736-5p	mir-6736/5p
hsa-mir-6736	hsa-miR-6736-3p	mir-6736/3p
hsa-mir-6735	hsa-miR-6735-5p	mir-6735/5p
hsa-mir-8061	hsa-miR-8061	mir-8061/8061
hsa-mir-6735	hsa-miR-6735-3p	mir-6735/3p
hsa-mir-6734	hsa-miR-6734-5p	mir-6734/5p
hsa-mir-6734	hsa-miR-6734-3p	mir-6734/3p
hsa-mir-6733	hsa-miR-6733-5p	mir-6733/5p
hsa-mir-6733	hsa-miR-6733-3p	mir-6733/3p
hsa-mir-6732	hsa-miR-6732-5p	mir-6732/5p
hsa-mir-6732	hsa-miR-6732-3p	mir-6732/3p
hsa-mir-6731	hsa-miR-6731-5p	mir-6731/5p
hsa-mir-6731	hsa-miR-6731-3p	mir-6731/3p
hsa-mir-6730	hsa-miR-6730-5p	mir-6730/5p
hsa-mir-6730	hsa-miR-6730-3p	mir-6730/3p
hsa-mir-6729	hsa-miR-6729-5p	mir-6729/5p
hsa-mir-6729	hsa-miR-6729-3p	mir-6729/3p
hsa-mir-6728	hsa-miR-6728-5p	mir-6728/5p
hsa-mir-8069	hsa-miR-8069	mir-8069/8069
hsa-mir-8069-1	hsa-miR-8069	mir-8069-1/8069
hsa-mir-6728	hsa-miR-6728-3p	mir-6728/3p
hsa-mir-6727	hsa-miR-6727-5p	mir-6727/5p
hsa-mir-6727	hsa-miR-6727-3p	mir-6727/3p
hsa-mir-6726	hsa-miR-6726-5p	mir-6726/5p
hsa-mir-6726	hsa-miR-6726-3p	mir-6726/3p
hsa-mir-6722	hsa-miR-6722-5p	mir-6722/5p
hsa-mir-6722	hsa-miR-6722-3p	mir-6722/3p
hsa-mir-6720	hsa-miR-6720-5p	mir-6720/5p
hsa-mir-6720	hsa-miR-6720-3p	mir-6720/3p
hsa-mir-6716	hsa-miR-6716-5p	mir-6716/5p
hsa-mir-6716	hsa-miR-6716-3p	mir-6716/3p
hsa-mir-6715b	hsa-miR-6715b-5p	mir-6715b/5p
hsa-mir-6715b	hsa-miR-6715b-3p	mir-6715b/3p
hsa-mir-671	hsa-miR-671-5p	mir-671/5p
hsa-mir-671	hsa-miR-671	mir-671/671
hsa-mir-671	hsa-miR-671-3p	mir-671/3p
hsa-mir-668	hsa-miR-668-5p	mir-668/5p
hsa-mir-6719	hsa-miR-6719-3p	mir-6719/3p
hsa-mir-668	hsa-miR-668-3p	mir-668/3p
hsa-mir-668	hsa-miR-668	mir-668/668
hsa-mir-664a	hsa-miR-664a-5p	mir-664a/5p
hsa-mir-664a	hsa-miR-664-5p	mir-664a/5p
hsa-mir-664a	hsa-miR-664a-3p	mir-664a/3p
hsa-mir-664a	hsa-miR-664	mir-664a/664
hsa-mir-664a	hsa-miR-664-3p	mir-664a/3p
hsa-mir-664	hsa-miR-664a-5p	mir-664/5p
hsa-mir-664	hsa-miR-664-5p	mir-664/5p
hsa-mir-664	hsa-miR-664a-3p	mir-664/3p
hsa-mir-664	hsa-miR-664-3p	mir-664/3p
hsa-mir-664	hsa-miR-664*	mir-664/664*
hsa-mir-664	hsa-miR-664	mir-664/664
hsa-mir-663	hsa-miR-663a	mir-663/663a
hsa-mir-663	hsa-miR-663	mir-663/663
hsa-mir-660	hsa-miR-660-5p	mir-660/5p
hsa-mir-660	hsa-miR-660-3p	mir-660/3p
hsa-mir-660	hsa-miR-660	mir-660/660
hsa-mir-5739	hsa-miR-5739	mir-5739/5739
hsa-mir-6075	hsa-miR-6075	mir-6075/6075
hsa-mir-6090	hsa-miR-6090	mir-6090/6090
hsa-mir-659	hsa-miR-659-5p	mir-659/5p
hsa-mir-659	hsa-miR-659-3p	mir-659/3p
hsa-mir-659	hsa-miR-659	mir-659/659
hsa-mir-656	hsa-miR-656-5p	mir-656/5p
hsa-mir-656	hsa-miR-656-3p	mir-656/3p
hsa-mir-656	hsa-miR-656	mir-656/656
hsa-mir-655	hsa-miR-655-5p	mir-655/5p
hsa-mir-655	hsa-miR-655-3p	mir-655/3p
hsa-mir-655	hsa-miR-655	mir-655/655
hsa-mir-654	hsa-miR-654-5p	mir-654/5p
hsa-mir-654	hsa-miR-654	mir-654/654
hsa-mir-6715a	hsa-miR-6715a-3p	mir-6715a/3p
hsa-mir-654	hsa-miR-654-3p	mir-654/3p
hsa-mir-653	hsa-miR-653-5p	mir-653/5p
hsa-mir-653	hsa-miR-653-3p	mir-653/3p
hsa-mir-653	hsa-miR-653	mir-653/653
hsa-mir-652	hsa-miR-652-5p	mir-652/5p
hsa-mir-652	hsa-miR-652-3p	mir-652/3p
hsa-mir-652	hsa-miR-652	mir-652/652
hsa-mir-6516	hsa-miR-6516-5p	mir-6516/5p
hsa-mir-6516	hsa-miR-6516-3p	mir-6516/3p
hsa-mir-6515	hsa-miR-6515-5p	mir-6515/5p
hsa-mir-6515	hsa-miR-6515-3p	mir-6515/3p
hsa-mir-6514	hsa-miR-6514-5p	mir-6514/5p
hsa-mir-6514	hsa-miR-6514-3p	mir-6514/3p
hsa-mir-6513	hsa-miR-6513-5p	mir-6513/5p
hsa-mir-6513	hsa-miR-6513-3p	mir-6513/3p
hsa-mir-6512	hsa-miR-6512-5p	mir-6512/5p
hsa-mir-6512	hsa-miR-6512-3p	mir-6512/3p
hsa-mir-6511b-2	hsa-miR-6511b-5p	mir-6511b-2/5p
hsa-mir-6511b-2	hsa-miR-6511b-3p	mir-6511b-2/3p
hsa-mir-6511b-1	hsa-miR-6511b-5p	mir-6511b-1/5p
hsa-mir-6511b-1	hsa-miR-6511b-3p	mir-6511b-1/3p
hsa-mir-6511a-4	hsa-miR-6511a-5p	mir-6511a-4/5p
hsa-mir-6511a-4	hsa-miR-6511a-3p	mir-6511a-4/3p
hsa-mir-6511a-3	hsa-miR-6511a-5p	mir-6511a-3/5p
hsa-mir-6511a-3	hsa-miR-6511a-3p	mir-6511a-3/3p
hsa-mir-6511a-2	hsa-miR-6511a-5p	mir-6511a-2/5p
hsa-mir-6511a-2	hsa-miR-6511a-3p	mir-6511a-2/3p
hsa-mir-6511a-1	hsa-miR-6511a-5p	mir-6511a-1/5p
hsa-mir-6511a-1	hsa-miR-6511a-3p	mir-6511a-1/3p
hsa-mir-6510	hsa-miR-6510-5p	mir-6510/5p
hsa-mir-6510	hsa-miR-6510-3p	mir-6510/3p
hsa-mir-651	hsa-miR-651-5p	mir-651/5p
hsa-mir-651	hsa-miR-651-3p	mir-651/3p
hsa-mir-651	hsa-miR-651	mir-651/651
hsa-mir-6509	hsa-miR-6509-5p	mir-6509/5p
hsa-mir-6509	hsa-miR-6509-3p	mir-6509/3p
hsa-mir-6508	hsa-miR-6508-5p	mir-6508/5p
hsa-mir-6508	hsa-miR-6508-3p	mir-6508/3p
hsa-mir-6507	hsa-miR-6507-5p	mir-6507/5p
hsa-mir-6507	hsa-miR-6507-3p	mir-6507/3p
hsa-mir-6506	hsa-miR-6506-5p	mir-6506/5p
hsa-mir-6506	hsa-miR-6506-3p	mir-6506/3p
hsa-mir-6505	hsa-miR-6505-5p	mir-6505/5p
hsa-mir-6077	hsa-miR-6077	mir-6077/6077
hsa-mir-6077-1	hsa-miR-6077	mir-6077-1/6077
hsa-mir-6505	hsa-miR-6505-3p	mir-6505/3p
hsa-mir-6504	hsa-miR-6504-5p	mir-6504/5p
hsa-mir-6504	hsa-miR-6504-3p	mir-6504/3p
hsa-mir-6503	hsa-miR-6503-5p	mir-6503/5p
hsa-mir-6503	hsa-miR-6503-3p	mir-6503/3p
hsa-mir-6502	hsa-miR-6502-5p	mir-6502/5p
hsa-mir-6502	hsa-miR-6502-3p	mir-6502/3p
hsa-mir-6501	hsa-miR-6501-5p	mir-6501/5p
hsa-mir-6501	hsa-miR-6501-3p	mir-6501/3p
hsa-mir-6500	hsa-miR-6500-5p	mir-6500/5p
hsa-mir-6500	hsa-miR-6500-3p	mir-6500/3p
hsa-mir-6499	hsa-miR-6499-5p	mir-6499/5p
hsa-mir-6499	hsa-miR-6499-3p	mir-6499/3p
hsa-mir-644a	hsa-miR-644a	mir-644a/644a
hsa-mir-6081	hsa-miR-6081	mir-6081/6081
hsa-mir-644a	hsa-miR-644	mir-644a/644
hsa-mir-644	hsa-miR-644a	mir-644/644a
hsa-mir-644	hsa-miR-644	mir-644/644
hsa-mir-642b	hsa-miR-642b-5p	mir-642b/5p
hsa-mir-642b	hsa-miR-642b-3p	mir-642b/3p
hsa-mir-642b	hsa-miR-642b	mir-642b/642b
hsa-mir-642a	hsa-miR-642a-5p	mir-642a/5p
hsa-mir-8076	hsa-miR-8076	mir-8076/8076
hsa-mir-642a	hsa-miR-642	mir-642a/642
hsa-mir-642a	hsa-miR-642a-3p	mir-642a/3p
hsa-mir-642a	hsa-miR-642a	mir-642a/642a
hsa-mir-642	hsa-miR-642a-5p	mir-642/5p
hsa-mir-642	hsa-miR-642	mir-642/642
hsa-mir-642	hsa-miR-642a	mir-642/642a
hsa-mir-642	hsa-miR-642a-3p	mir-642/3p
hsa-mir-629	hsa-miR-629-5p	mir-629/5p
hsa-mir-629	hsa-miR-629-3p	mir-629/3p
hsa-mir-629	hsa-miR-629	mir-629/629
hsa-mir-629	hsa-miR-629*	mir-629/629*
hsa-mir-628	hsa-miR-628-5p	mir-628/5p
hsa-mir-628	hsa-miR-628-3p	mir-628/3p
hsa-mir-628	hsa-miR-628	mir-628/628
hsa-mir-6071	hsa-miR-6071	mir-6071/6071
hsa-mir-5694	hsa-miR-5694	mir-5694/5694
hsa-mir-6086	hsa-miR-6086	mir-6086/6086
hsa-mir-627	hsa-miR-627-5p	mir-627/5p
hsa-mir-627	hsa-miR-627-3p	mir-627/3p
hsa-mir-627	hsa-miR-627	mir-627/627
hsa-mir-625	hsa-miR-625-5p	mir-625/5p
hsa-mir-6127	hsa-miR-6127	mir-6127/6127
hsa-mir-625	hsa-miR-625-3p	mir-625/3p
hsa-mir-625	hsa-miR-625	mir-625/625
hsa-mir-625	hsa-miR-625*	mir-625/625*
hsa-mir-624	hsa-miR-624-5p	mir-624/5p
hsa-mir-624	hsa-miR-624-3p	mir-624/3p
hsa-mir-624	hsa-miR-624*	mir-624/624*
hsa-mir-624	hsa-miR-624	mir-624/624
hsa-mir-619	hsa-miR-619-5p	mir-619/5p
hsa-mir-619	hsa-miR-619-3p	mir-619/3p
hsa-mir-619	hsa-miR-619	mir-619/619
hsa-mir-616	hsa-miR-616-5p	mir-616/5p
hsa-mir-616	hsa-miR-616-3p	mir-616/3p
hsa-mir-6132	hsa-miR-6132	mir-6132/6132
hsa-mir-616	hsa-miR-616*	mir-616/616*
hsa-mir-616	hsa-miR-616	mir-616/616
hsa-mir-615	hsa-miR-615-5p	mir-615/5p
hsa-mir-615	hsa-miR-615-3p	mir-615/3p
hsa-mir-615	hsa-miR-615	mir-615/615
hsa-mir-605	hsa-miR-605-5p	mir-605/5p
hsa-mir-605	hsa-miR-605-3p	mir-605/3p
hsa-mir-605	hsa-miR-605	mir-605/605
hsa-mir-598	hsa-miR-598-5p	mir-598/5p
hsa-mir-598	hsa-miR-598-3p	mir-598/3p
hsa-mir-598	hsa-miR-598	mir-598/598
hsa-mir-597	hsa-miR-597-5p	mir-597/5p
hsa-mir-597	hsa-miR-597-3p	mir-597/3p
hsa-mir-597	hsa-miR-597	mir-597/597
hsa-mir-593	hsa-miR-593-5p	mir-593/5p
hsa-mir-593	hsa-miR-593-3p	mir-593/3p
hsa-mir-593	hsa-miR-593*	mir-593/593*
hsa-mir-593	hsa-miR-593	mir-593/593
hsa-mir-590	hsa-miR-590-5p	mir-590/5p
hsa-mir-590	hsa-miR-590	mir-590/590
hsa-mir-590	hsa-miR-590-3p	mir-590/3p
hsa-mir-589	hsa-miR-589-5p	mir-589/5p
hsa-mir-589	hsa-miR-589-3p	mir-589/3p
hsa-mir-589	hsa-miR-589	mir-589/589
hsa-mir-589	hsa-miR-589*	mir-589/589*
hsa-mir-585	hsa-miR-585-5p	mir-585/5p
hsa-mir-585	hsa-miR-585-3p	mir-585/3p
hsa-mir-585	hsa-miR-585	mir-585/585
hsa-mir-584	hsa-miR-584-5p	mir-584/5p
hsa-mir-584	hsa-miR-584-3p	mir-584/3p
hsa-mir-584	hsa-miR-584	mir-584/584
hsa-mir-582	hsa-miR-582-5p	mir-582/5p
hsa-mir-582	hsa-miR-582	mir-582/582
hsa-mir-582	hsa-miR-582-3p	mir-582/3p
hsa-mir-580	hsa-miR-580-5p	mir-580/5p
hsa-mir-580	hsa-miR-580-3p	mir-580/3p
hsa-mir-580	hsa-miR-580	mir-580/580
hsa-mir-579	hsa-miR-579-5p	mir-579/5p
hsa-mir-579	hsa-miR-579-3p	mir-579/3p
hsa-mir-579	hsa-miR-579	mir-579/579
hsa-mir-576	hsa-miR-576-5p	mir-576/5p
hsa-mir-576	hsa-miR-576	mir-576/576
hsa-mir-576	hsa-miR-576-3p	mir-576/3p
hsa-mir-574	hsa-miR-574-5p	mir-574/5p
hsa-mir-574	hsa-miR-574-3p	mir-574/3p
hsa-mir-574	hsa-miR-574	mir-574/574
hsa-mir-570	hsa-miR-570-5p	mir-570/5p
hsa-mir-570	hsa-miR-570-3p	mir-570/3p
hsa-mir-570	hsa-miR-570	mir-570/570
hsa-mir-561	hsa-miR-561-5p	mir-561/5p
hsa-mir-561	hsa-miR-561-3p	mir-561/3p
hsa-mir-561	hsa-miR-561	mir-561/561
hsa-mir-5588	hsa-miR-5588-5p	mir-5588/5p
hsa-mir-5588	hsa-miR-5588-3p	mir-5588/3p
hsa-mir-5587	hsa-miR-5587-5p	mir-5587/5p
hsa-mir-5587	hsa-miR-5587-3p	mir-5587/3p
hsa-mir-5585	hsa-miR-5585-5p	mir-5585/5p
hsa-mir-5585	hsa-miR-5585-3p	mir-5585/3p
hsa-mir-5583-2	hsa-miR-5583-5p	mir-5583-2/5p
hsa-mir-5583-2	hsa-miR-5583-3p	mir-5583-2/3p
hsa-mir-5583-1	hsa-miR-5583-5p	mir-5583-1/5p
hsa-mir-5583-1	hsa-miR-5583-3p	mir-5583-1/3p
hsa-mir-5582	hsa-miR-5582-5p	mir-5582/5p
hsa-mir-5582	hsa-miR-5582-3p	mir-5582/3p
hsa-mir-5581	hsa-miR-5581-5p	mir-5581/5p
hsa-mir-5581	hsa-miR-5581-3p	mir-5581/3p
hsa-mir-5579	hsa-miR-5579-5p	mir-5579/5p
hsa-mir-5579	hsa-miR-5579-3p	mir-5579/3p
hsa-mir-5571	hsa-miR-5571-5p	mir-5571/5p
hsa-mir-5571	hsa-miR-5571-3p	mir-5571/3p
hsa-mir-556	hsa-miR-556-5p	mir-556/5p
hsa-mir-556	hsa-miR-556	mir-556/556
hsa-mir-556	hsa-miR-556-3p	mir-556/3p
hsa-mir-552	hsa-miR-552-5p	mir-552/5p
hsa-mir-552	hsa-miR-552-3p	mir-552/3p
hsa-mir-552	hsa-miR-552	mir-552/552
hsa-mir-551b	hsa-miR-551b-5p	mir-551b/5p
hsa-mir-551b	hsa-miR-551b-3p	mir-551b/3p
hsa-mir-551b	hsa-miR-551b*	mir-551b/551b*
hsa-mir-551b	hsa-miR-551b	mir-551b/551b
hsa-mir-550b-2	hsa-miR-550b-2-5p	mir-550b-2/5p
hsa-mir-550b-2	hsa-miR-550b-3p	mir-550b-2/3p
hsa-mir-550b-2	hsa-miR-550b	mir-550b-2/550b
hsa-mir-550b-1	hsa-miR-550b-2-5p	mir-550b-1/5p
hsa-mir-550b-1	hsa-miR-550b-3p	mir-550b-1/3p
hsa-mir-550b-1	hsa-miR-550b	mir-550b-1/550b
hsa-mir-550a-3	hsa-miR-550a-3-5p	mir-550a-3/5p
hsa-mir-550a-3	hsa-miR-550a-3p	mir-550a-3/3p
hsa-mir-550a-3	hsa-miR-550	mir-550a-3/550
hsa-mir-550a-3	hsa-miR-550a*	mir-550a-3/550a*
hsa-mir-550a-2	hsa-miR-550a-5p	mir-550a-2/5p
hsa-mir-550a-2	hsa-miR-550	mir-550a-2/550
hsa-mir-550a-2	hsa-miR-550a-3p	mir-550a-2/3p
hsa-mir-550a-2	hsa-miR-550a	mir-550a-2/550a
hsa-mir-550a-2	hsa-miR-550a*	mir-550a-2/550a*
hsa-mir-550a-1	hsa-miR-550a-5p	mir-550a-1/5p
hsa-mir-550a-1	hsa-miR-550	mir-550a-1/550
hsa-mir-550a-1	hsa-miR-550a-3p	mir-550a-1/3p
hsa-mir-550a-1	hsa-miR-550a	mir-550a-1/550a
hsa-mir-550a-1	hsa-miR-550a*	mir-550a-1/550a*
hsa-mir-550-2	hsa-miR-550a-5p	mir-550-2/5p
hsa-mir-550-2	hsa-miR-550	mir-550-2/550
hsa-mir-550-2	hsa-miR-550a	mir-550-2/550a
hsa-mir-550-2	hsa-miR-550a-3p	mir-550-2/3p
hsa-mir-550-1	hsa-miR-550a-5p	mir-550-1/5p
hsa-mir-550-1	hsa-miR-550	mir-550-1/550
hsa-mir-550-1	hsa-miR-550a	mir-550-1/550a
hsa-mir-550-1	hsa-miR-550a-3p	mir-550-1/3p
hsa-mir-549a	hsa-miR-549a-5p	mir-549a/5p
hsa-mir-549a	hsa-miR-549	mir-549a/549
hsa-mir-549a	hsa-miR-549a-3p	mir-549a/3p
hsa-mir-549	hsa-miR-549a-5p	mir-549/5p
